Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0035401	FBgn0035401	CG1291	20	28	35	27	25	29	22	14	10	9	9	8	16	15	16	19	20	19	19	14	14	8	8	7	15	18	18	16	18	20
FBgn0035402	FBgn0035402	Usp5	95	10	20	48	36	29	20	14	7	4	2	2	11	20	22	24	40	45	50	36	47	25	16	22	21	24	25	44	67	66
FBgn0035405	FBgn0035405	CG15812	57	46	34	45	43	40	27	23	19	13	23	18	9	6	5	5	8	9	10	12	14	11	6	5	6	8	8	15	25	27
FBgn0035407	FBgn0035407	Asciz	10	5	7	6	5	4	4	2	2	2	2	2	2	2	2	2	2	3	3	4	4	4	3	2	2	3	4	3	7	7
FBgn0035409	FBgn0035409	CG14963	0	1	1	1	1	1	1	1	1	1	1	1	8	35	124	34	47	72	92	51	3	4	5	3	18	31	22	9	5	6
FBgn0035410	FBgn0035410	CG14964	0	0	0	1	1	4	7	13	12	8	4	5	8	10	17	6	6	2	1	1	1	12	27	10	12	11	9	8	2	2
FBgn0035413	FBgn0035413	CG14958	0	0	0	0	0	0	0	0	0	2	18	16	32	14	20	9	4	2	1	1	2	2	1	1	2	3	5	0	0	0
FBgn0035414	FBgn0035414	CG14965	22	28	18	12	13	6	10	4	5	2	7	8	1	1	1	1	2	3	3	5	5	2	1	1	1	1	1	2	10	9
FBgn0035415	FBgn0035415	CG14966	21	29	56	25	13	9	8	3	3	3	3	5	6	13	13	13	13	16	12	9	11	8	6	4	7	8	6	7	16	14
FBgn0035420	FBgn0035420	CG14967	20	25	10	9	10	7	12	10	9	5	12	10	4	6	4	4	7	9	10	7	10	8	6	5	8	10	9	8	16	15
FBgn0035421	FBgn0035421	CG12034	75	95	46	18	29	47	38	32	26	19	20	20	18	18	17	21	26	34	34	35	45	30	25	22	26	32	39	28	41	44
FBgn0035422	FBgn0035422	RpL28	342	645	634	774	752	721	666	482	526	704	831	709	740	758	648	542	537	474	531	453	539	453	335	263	261	261	245	422	581	560
FBgn0035423	FBgn0035423	CG17737	185	238	228	257	322	432	387	174	179	153	174	186	202	241	197	175	181	231	205	198	220	201	180	119	151	167	159	164	275	246
FBgn0035424	FBgn0035424	CG11505	48	10	19	15	14	9	15	14	11	10	8	8	12	10	10	6	18	21	23	19	27	29	19	19	25	30	35	25	33	34
