Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0000008	FBgn0000008	a	21	8	5	6	10	21	30	25	10	12	11	9	6	5	3	2	5	14	18	19	27	44	12	8	5	7	9	10	10	11
FBgn0000014	FBgn0000014	abd-A	0	5	15	37	39	25	40	24	20	18	13	14	13	7	7	5	14	20	24	18	20	9	3	3	3	2	2	3	1	1
FBgn0000015	FBgn0000015	Abd-B	0	2	7	10	10	6	8	5	5	5	3	3	3	1	1	1	2	3	3	2	3	2	1	1	1	1	2	1	0	0
FBgn0000017	FBgn0000017	Abl	23	23	7	11	15	17	19	18	12	8	14	11	4	3	2	2	6	9	10	11	17	15	6	4	5	6	6	9	14	15
FBgn0000018	FBgn0000018	abo	15	2	3	3	3	2	2	2	1	1	1	1	3	3	3	4	4	5	4	5	6	5	3	3	4	7	7	7	10	11
FBgn0000022	FBgn0000022	ac	2	14	37	23	8	1	1	0	0	0	0	0	0	0	0	1	2	4	3	5	5	1	0	0	0	0	0	0	0	0
FBgn0000024	FBgn0000024	Ace	0	0	0	0	0	1	2	4	7	8	9	13	9	5	2	1	3	5	7	11	10	16	14	6	8	7	7	4	1	1
FBgn0000028	FBgn0000028	acj6	0	0	0	1	1	1	2	2	2	1	1	1	1	0	0	0	1	1	1	2	2	2	2	2	2	3	4	0	0	0
FBgn0000032	FBgn0000032	Acph-1	56	37	12	9	18	20	26	21	32	24	28	30	7	10	12	16	20	27	28	27	18	16	11	7	10	14	11	21	44	42
FBgn0000036	FBgn0000036	nAChRalpha1	0	0	0	0	0	0	1	2	4	4	4	6	4	1	0	0	1	1	1	1	2	4	3	1	1	1	1	0	0	0
FBgn0000037	FBgn0000037	mAChR-A	0	0	0	0	0	0	1	4	9	12	12	12	13	3	1	1	1	1	1	2	4	8	7	3	4	5	6	2	1	1
FBgn0000038	FBgn0000038	nAChRbeta1	0	0	0	1	1	8	16	17	22	23	20	23	20	7	2	1	2	2	1	4	10	31	30	15	17	21	20	9	3	3
FBgn0000039	FBgn0000039	nAChRalpha2	0	0	0	0	0	1	2	7	12	15	14	14	13	4	1	1	2	3	3	6	9	13	11	4	4	4	6	2	1	0
FBgn0000042	FBgn0000042	Act5C	1417	2118	1879	1491	1510	1597	1285	1263	1045	1280	2077	1825	1335	1744	1063	986	1383	2037	2420	2031	1978	1826	382	1458	578	552	745	1133	1126	1110
FBgn0000043	FBgn0000043	Act42A	188	301	399	604	712	691	596	387	259	201	163	157	78	85	116	240	384	569	836	665	572	326	139	236	128	162	175	177	199	206
FBgn0000044	FBgn0000044	Act57B	32	31	36	255	635	897	1675	6965	10709	12835	9960	9326	9272	9494	14855	7474	3650	1137	201	511	225	331	5183	6507	1423	849	1187	1820	250	328
FBgn0000045	FBgn0000045	Act79B	0	0	0	0	0	1	1	3	3	5	2	2	1	0	1	1	1	1	12	77	57	505	3720	6884	3639	865	303	2704	70	36
FBgn0000046	FBgn0000046	Act87E	5	14	47	100	156	91	68	483	1623	1622	531	522	192	174	406	446	281	134	39	60	113	236	2661	3346	674	399	367	582	48	42
FBgn0000047	FBgn0000047	Act88F	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	32	51	66	1123	6278	11610	4133	145	62	4505	24	21
FBgn0000052	FBgn0000052	ade2	34	11	4	4	6	16	14	15	10	9	13	12	29	16	26	16	54	56	44	40	22	21	9	17	25	16	24	37	40	40
FBgn0000053	FBgn0000053	ade3	12	8	6	7	9	14	14	14	10	9	13	11	31	14	24	28	116	140	167	35	21	11	10	16	19	11	14	34	31	32
FBgn0000055	FBgn0000055	Adh	103	4	2	2	4	5	12	54	92	217	456	727	939	1431	2246	1317	617	112	49	72	48	46	59	599	2144	2174	1415	1188	792	821
FBgn0000056	FBgn0000056	Adhr	109	4	2	2	4	6	13	57	98	231	486	774	1001	1524	2392	1401	656	119	52	77	51	49	62	636	2278	2309	1504	1264	841	872
FBgn0000057	FBgn0000057	adp	36	17	8	12	19	24	17	16	12	9	10	9	8	7	9	12	21	26	17	25	29	26	20	20	26	35	37	19	22	23
FBgn0000061	FBgn0000061	al	0	0	1	9	14	17	22	19	12	17	12	11	10	7	3	4	7	12	10	10	15	6	1	3	1	0	0	1	0	0
FBgn0000063	FBgn0000063	Mps1	33	8	14	14	8	3	3	1	1	1	0	1	1	1	1	2	4	5	4	7	7	3	2	2	3	4	4	6	18	19
FBgn0000064	FBgn0000064	Ald	57	68	57	36	58	104	141	342	382	432	444	446	721	587	698	427	270	118	76	46	62	234	467	646	791	749	396	574	206	116
FBgn0000075	FBgn0000075	amd	1	5	15	8	8	14	26	133	173	22	3	4	4	65	14	2	1	1	1	4	3	36	2	3	3	2	3	5	11	12
FBgn0000077	FBgn0000077	amx	34	17	12	10	12	13	9	9	6	4	5	5	7	5	4	5	7	8	8	7	7	7	5	5	5	6	8	12	16	18
FBgn0000078	FBgn0000078	Amy-d	0	0	0	0	0	0	0	0	0	0	1	1	4	6	7	349	323	106	4	1	0	0	0	7	53	44	28	27	27	24
FBgn0000079	FBgn0000079	Amy-p	0	0	0	1	2	2	1	1	1	4	69	40	172	206	390	414	305	101	7	1	0	1	0	13	878	702	627	770	461	313
FBgn0000083	FBgn0000083	AnxB9	67	75	47	56	75	170	211	309	194	260	351	324	198	252	184	186	184	152	121	120	89	240	148	192	109	107	116	90	70	79
FBgn0000084	FBgn0000084	AnxB10	43	6	1	1	1	1	1	5	8	8	4	3	2	2	8	22	34	34	32	29	19	22	40	61	73	87	100	64	46	56
FBgn0000092	FBgn0000092	CG2650	0	1	1	1	1	1	0	0	0	1	3	4	5	1	0	0	1	1	2	15	1	6	1	564	49	2	1	52	1	1
FBgn0000097	FBgn0000097	aop	33	48	107	136	93	58	60	34	24	14	26	24	9	7	5	4	11	31	54	54	27	22	5	55	10	6	7	16	19	19
FBgn0000100	FBgn0000100	RpLP0	1196	1774	1467	1348	1533	2128	1318	1658	1446	1603	1692	1410	2418	2038	1737	1306	1197	1197	1046	821	909	801	669	769	636	684	849	1705	1551	1664
FBgn0000108	FBgn0000108	Appl	1	1	0	1	3	8	14	18	22	23	25	27	27	12	4	3	8	11	13	23	32	33	28	13	16	17	17	7	3	4
FBgn0000109	FBgn0000109	Aprt	20	30	36	22	15	13	16	13	15	13	26	27	26	36	28	13	11	14	16	9	11	12	8	11	10	8	8	13	21	21
FBgn0000114	FBgn0000114	aret	150	18	2	1	2	3	3	4	4	5	4	4	4	1	2	3	8	10	11	15	32	58	54	47	55	72	82	71	109	106
FBgn0000115	FBgn0000115	Arl1	92	97	70	84	92	105	66	60	40	30	25	22	45	68	59	51	51	55	55	41	50	47	30	24	32	40	41	42	54	59
FBgn0000116	FBgn0000116	Argk	99	5	4	43	111	364	261	271	156	126	217	187	726	800	1511	1372	743	248	129	231	357	582	618	290	681	813	506	464	190	163
FBgn0000117	FBgn0000117	arm	237	493	757	704	532	555	404	374	249	179	175	155	84	69	49	72	114	142	175	194	294	232	125	66	65	68	73	115	129	140
FBgn0000119	FBgn0000119	arr	20	31	41	32	29	25	24	17	15	11	14	13	8	5	6	8	16	19	21	21	34	15	8	7	9	9	9	8	8	9
FBgn0000120	FBgn0000120	Arr1	0	0	0	0	0	0	0	1	2	4	5	6	6	2	1	1	1	2	2	2	3	4	16	137	319	477	758	161	92	117
FBgn0000121	FBgn0000121	Arr2	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	2	2	1	9	85	304	731	999	1677	369	222	257
FBgn0000137	FBgn0000137	ase	0	2	11	25	20	9	10	2	2	1	1	1	0	0	1	1	1	2	2	2	1	0	0	0	0	0	0	0	0	0
FBgn0000139	FBgn0000139	ash2	31	50	39	25	22	15	12	14	11	6	18	15	9	8	9	10	13	13	13	16	21	13	8	7	10	13	14	18	20	22
FBgn0000140	FBgn0000140	asp	65	33	51	38	24	7	7	4	3	2	3	3	1	1	2	4	6	6	6	12	10	5	4	4	5	8	7	14	41	41
FBgn0000150	FBgn0000150	awd	1577	1088	290	163	182	296	206	328	252	239	256	187	941	1268	1171	676	631	677	619	421	595	373	297	468	474	421	490	1185	1230	1381
FBgn0000152	FBgn0000152	Axs	14	7	7	4	4	2	2	1	2	2	4	5	4	6	9	10	11	13	11	7	6	4	3	12	8	6	6	10	9	8
FBgn0000153	FBgn0000153	b	1	1	1	0	0	0	0	2	5	7	1	1	0	0	3	3	11	104	300	28	5	6	38	211	87	77	52	60	13	8
FBgn0000157	FBgn0000157	Dll	0	3	7	8	7	5	6	4	4	4	3	3	2	1	1	4	9	12	11	11	18	12	5	4	3	3	4	2	1	1
FBgn0000158	FBgn0000158	bam	29	9	3	2	3	2	2	2	2	1	3	3	0	1	1	1	1	2	1	2	2	1	1	1	1	1	1	6	12	16
FBgn0000163	FBgn0000163	baz	12	15	13	16	15	8	7	9	7	4	3	3	1	1	1	1	2	3	3	4	4	4	2	3	3	2	3	4	5	6
FBgn0000166	FBgn0000166	bcd	73	34	13	10	14	7	11	15	10	4	29	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	33	35
FBgn0000173	FBgn0000173	ben	105	137	74	56	70	57	57	49	37	28	32	34	31	36	33	48	77	108	132	91	74	47	33	29	32	30	29	53	73	66
FBgn0000179	FBgn0000179	bi	0	0	1	5	7	8	9	7	4	4	3	2	2	1	1	2	5	5	5	5	8	4	1	1	1	1	1	1	0	0
FBgn0000180	FBgn0000180	bib	8	167	204	189	76	27	17	8	4	4	2	3	1	0	1	3	11	18	23	23	20	10	2	3	2	3	3	2	1	1
FBgn0000181	FBgn0000181	bic	607	550	478	515	559	736	479	427	397	404	467	408	708	500	423	284	306	344	313	271	324	235	188	232	203	226	228	485	560	574
FBgn0000182	FBgn0000182	BicC	361	11	3	1	2	0	1	2	0	1	0	1	0	0	0	1	3	3	3	6	11	13	13	16	23	30	35	98	242	234
FBgn0000183	FBgn0000183	BicD	54	32	10	8	15	20	29	25	21	13	22	23	13	17	11	7	12	16	19	19	20	28	14	9	13	13	11	23	41	38
FBgn0000206	FBgn0000206	boss	0	0	0	0	1	4	4	3	2	1	1	1	0	0	0	0	0	0	0	1	1	9	20	13	14	12	13	7	3	2
FBgn0000212	FBgn0000212	brm	80	135	139	130	102	49	51	53	36	18	52	39	19	19	15	17	30	32	32	37	48	23	14	9	13	13	14	26	37	39
FBgn0000221	FBgn0000221	brn	21	15	14	11	10	9	7	6	3	3	3	3	4	4	3	4	5	5	5	8	7	5	3	4	5	6	7	7	10	12
FBgn0000227	FBgn0000227	Bsg25A	29	315	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000228	FBgn0000228	Bsg25D	59	276	33	25	28	20	22	18	16	10	15	17	5	5	4	4	8	9	10	11	12	11	6	6	9	9	10	18	29	30
FBgn0000229	FBgn0000229	bsk	7	10	36	51	45	49	63	22	30	17	12	18	15	18	13	14	17	26	24	24	31	29	21	9	15	13	12	7	9	8
FBgn0000233	FBgn0000233	btd	1	20	26	18	7	3	3	2	2	2	1	1	1	0	0	1	2	3	3	2	4	3	1	1	1	1	1	1	0	0
FBgn0000239	FBgn0000239	bur	110	112	49	41	50	37	41	39	33	17	61	54	41	28	26	29	38	37	36	31	34	28	43	28	28	31	37	54	83	80
FBgn0000244	FBgn0000244	by	2	1	1	2	4	10	10	19	35	79	64	69	32	17	19	14	16	12	3	7	6	9	14	30	21	23	28	17	7	7
FBgn0000246	FBgn0000246	c(3)G	21	24	8	6	8	5	12	3	5	2	8	12	0	1	0	1	1	1	1	2	2	3	1	1	1	1	1	3	17	16
FBgn0000247	FBgn0000247	ca	28	6	6	11	12	9	12	12	10	10	8	8	9	7	8	6	9	9	8	10	14	13	9	10	12	14	15	14	17	18
FBgn0000250	FBgn0000250	cact	166	218	103	76	74	53	72	96	101	77	122	116	46	46	36	28	41	60	102	75	46	52	39	84	41	40	42	65	83	86
FBgn0000251	FBgn0000251	cad	150	70	14	12	11	11	13	16	15	17	20	18	19	12	11	11	14	11	8	5	7	5	3	8	14	20	27	57	79	91
FBgn0000253	FBgn0000253	Cam	97	162	117	31	43	33	59	56	91	96	135	162	85	110	71	55	65	82	88	77	92	128	133	92	108	95	80	70	88	74
FBgn0000256	FBgn0000256	capu	10	1	0	4	12	13	12	8	3	3	3	3	3	2	3	6	11	14	12	20	29	27	22	28	42	56	60	7	7	8
FBgn0000257	FBgn0000257	car	31	18	16	13	14	15	10	9	7	6	5	5	7	6	6	5	7	7	7	9	10	7	4	10	7	8	8	13	18	19
FBgn0000259	FBgn0000259	CkIIbeta	25	12	18	23	23	15	30	14	15	10	9	12	17	18	13	10	16	24	27	25	30	29	22	11	12	12	12	17	28	24
FBgn0000261	FBgn0000261	Cat	39	50	28	29	50	75	55	77	84	79	54	52	67	113	222	340	294	332	550	446	435	401	284	230	418	491	446	215	145	165
FBgn0000273	FBgn0000273	Pka-C1	27	37	26	21	24	15	30	26	42	38	44	53	31	28	28	16	27	25	28	22	30	31	53	23	28	22	17	19	22	20
FBgn0000274	FBgn0000274	Pka-C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	5	10	15	19	18	18	30	41	42	1	1	1
FBgn0000283	FBgn0000283	Cp190	102	184	146	135	112	52	71	46	40	24	54	48	18	18	15	15	27	31	33	31	44	24	14	12	13	15	15	34	67	68
FBgn0000286	FBgn0000286	Cf2	30	5	5	6	8	12	13	16	11	11	7	6	7	6	9	10	17	18	20	11	13	11	11	12	15	19	22	20	21	22
FBgn0000287	FBgn0000287	salr	0	0	0	1	3	5	10	8	7	7	6	6	5	2	1	2	4	6	6	8	14	12	6	5	7	9	10	1	0	0
FBgn0000289	FBgn0000289	cg	94	105	90	104	89	61	57	54	41	33	31	29	25	17	13	15	27	33	35	35	51	33	19	20	19	23	29	48	60	57
FBgn0000299	FBgn0000299	Cg25C	2	2	2	10	19	53	113	424	728	1171	873	683	566	604	678	86	55	22	23	26	21	49	164	118	108	42	18	131	47	43
FBgn0000303	FBgn0000303	ChAT	0	0	0	0	0	1	3	5	6	12	17	18	18	6	2	1	1	1	1	2	2	3	8	11	7	7	7	4	1	1
FBgn0000307	FBgn0000307	chif	33	45	42	35	32	15	32	17	16	9	21	20	6	5	4	4	10	15	15	13	15	12	7	4	5	5	4	10	27	26
FBgn0000308	FBgn0000308	chic	127	215	245	276	300	307	356	179	158	104	93	102	100	149	131	205	332	487	500	295	294	219	96	130	74	84	93	86	113	109
FBgn0000316	FBgn0000316	cin	44	70	51	32	34	27	33	14	16	8	21	23	12	15	12	12	14	20	18	16	18	12	10	5	7	6	5	14	33	34
FBgn0000317	FBgn0000317	ck	26	30	9	14	23	19	44	33	21	9	18	17	6	17	6	4	7	9	12	8	12	15	9	4	6	6	5	9	16	16
FBgn0000318	FBgn0000318	cl	149	166	91	36	47	92	64	69	66	63	79	71	129	128	139	113	138	155	131	113	120	119	102	96	125	140	160	117	119	131
FBgn0000319	FBgn0000319	Chc	101	136	161	161	161	157	178	156	121	82	87	91	72	87	67	76	118	145	211	140	136	105	67	53	74	68	72	117	135	121
FBgn0000320	FBgn0000320	eya	1	9	31	23	23	25	13	9	4	4	2	2	2	1	1	3	6	7	7	9	14	10	5	8	7	10	9	8	5	5
FBgn0000326	FBgn0000326	clt	13	18	7	3	5	5	6	7	8	6	10	11	9	15	12	13	10	11	11	7	8	12	9	4	8	8	8	8	13	13
FBgn0000330	FBgn0000330	cm	37	32	18	22	27	30	25	21	17	10	11	10	11	13	11	12	14	16	18	17	19	14	11	9	9	9	12	17	20	21
FBgn0000339	FBgn0000339	cni	35	50	51	40	50	65	50	20	25	18	25	31	18	29	32	29	37	71	62	31	25	23	18	17	21	24	23	18	32	33
FBgn0000346	FBgn0000346	comt	8	3	2	2	4	7	8	11	15	18	19	19	20	8	3	3	5	6	6	10	14	18	28	34	32	37	37	16	9	9
FBgn0000351	FBgn0000351	cort	51	2	7	10	5	3	1	1	0	0	0	0	0	0	0	1	1	2	2	2	2	1	0	1	0	1	1	19	38	38
FBgn0000352	FBgn0000352	cos	33	48	37	25	22	14	14	14	12	8	14	13	6	4	3	3	7	9	10	13	17	9	4	3	3	3	3	10	18	19
FBgn0000355	FBgn0000355	Cp15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	3	0	0	0	3002	6218	6272
FBgn0000356	FBgn0000356	Cp16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	609	1467	1599
FBgn0000357	FBgn0000357	Cp18	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	3	1	2	3	1240	2475	2837
FBgn0000358	FBgn0000358	Cp19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1287	2615	2877
FBgn0000359	FBgn0000359	Cp36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1557	3085	3558
FBgn0000360	FBgn0000360	Cp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2107	4115	4557
FBgn0000370	FBgn0000370	crc	51	92	118	107	125	163	160	99	146	139	142	163	109	139	145	174	205	247	245	194	212	225	280	174	169	156	145	119	126	115
FBgn0000376	FBgn0000376	crm	96	62	34	33	37	25	22	28	20	12	19	19	6	3	3	4	7	7	6	8	10	6	3	4	4	5	7	27	48	54
FBgn0000377	FBgn0000377	crn	37	62	55	53	43	34	25	22	18	14	22	18	14	13	10	10	14	14	16	18	20	14	8	6	8	9	10	16	21	22
FBgn0000382	FBgn0000382	csw	21	13	4	6	10	9	11	11	13	12	16	17	8	4	4	3	7	10	60	20	17	16	16	24	16	16	18	19	19	19
FBgn0000384	FBgn0000384	cta	26	23	14	13	19	16	22	10	11	6	11	13	4	4	3	4	7	12	11	9	11	8	4	3	3	3	3	7	17	15
FBgn0000392	FBgn0000392	cup	227	61	11	9	9	7	7	6	5	4	5	4	5	6	6	7	15	17	17	29	47	51	43	39	56	86	89	75	148	145
FBgn0000394	FBgn0000394	cv	12	13	32	42	39	44	30	19	18	20	14	14	15	12	16	11	12	13	13	28	37	32	24	17	18	16	16	17	15	15
FBgn0000395	FBgn0000395	cv-2	1	14	24	10	9	10	10	10	14	16	11	12	7	4	3	4	6	8	9	11	22	13	8	12	7	6	7	5	2	2
FBgn0000404	FBgn0000404	CycA	531	408	420	363	275	133	109	52	41	19	64	58	6	8	7	14	24	32	34	38	43	18	10	11	11	17	16	137	337	342
FBgn0000405	FBgn0000405	CycB	1176	645	580	453	392	201	177	169	126	45	176	159	2	3	4	14	25	29	28	48	51	22	12	19	16	27	25	312	694	696
FBgn0000406	FBgn0000406	Cyt-b5-r	1	8	38	88	75	25	13	18	41	43	68	108	473	453	724	149	53	17	28	4	3	3	2	17	256	159	133	126	87	80
FBgn0000412	FBgn0000412	D1	173	339	368	329	248	160	116	76	65	40	52	49	28	41	31	63	96	116	127	150	210	83	36	27	34	49	42	59	104	105
FBgn0000414	FBgn0000414	Dab	18	23	25	18	14	10	16	16	13	9	13	12	7	4	3	3	6	7	10	12	16	11	6	5	8	8	9	9	13	14
FBgn0000416	FBgn0000416	Sap-r	210	283	317	227	224	154	221	158	129	97	72	88	61	82	118	305	646	946	1174	500	367	240	238	149	320	283	254	310	299	273
FBgn0000422	FBgn0000422	Ddc	0	0	0	0	1	0	0	3	31	86	28	27	11	8	15	10	105	321	126	49	6	8	95	115	24	24	25	14	5	6
FBgn0000439	FBgn0000439	Dfd	0	7	9	10	9	8	8	6	6	5	3	3	3	1	1	0	1	1	1	1	2	1	0	1	1	1	2	1	0	0
FBgn0000442	FBgn0000442	Pkg21D	0	0	0	0	0	0	0	1	7	16	10	10	10	6	7	3	3	1	1	2	1	0	1	10	6	7	7	5	2	2
FBgn0000447	FBgn0000447	Dhod	52	58	31	30	33	25	20	14	11	9	9	10	21	29	28	24	30	38	36	35	54	59	51	38	61	81	76	33	50	51
FBgn0000448	FBgn0000448	Hr46	0	0	0	4	8	32	55	17	7	3	1	2	2	9	2	0	1	10	31	2	2	33	28	2	3	3	3	1	1	1
FBgn0000449	FBgn0000449	dib	1	27	39	15	7	2	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1
FBgn0000451	FBgn0000451	ect	1	1	1	5	9	35	197	643	212	15	4	5	8	337	47	2	3	4	5	11	11	1029	290	5	3	2	2	2	1	0
FBgn0000454	FBgn0000454	Dip-B	160	16	6	5	7	19	19	46	72	68	61	51	74	137	114	96	97	130	254	376	287	224	79	87	79	82	92	190	216	231
FBgn0000455	FBgn0000455	Dip-C	33	27	16	20	26	28	14	17	18	27	38	32	40	40	37	76	78	81	84	93	63	35	23	38	42	38	41	49	33	38
FBgn0000459	FBgn0000459	disco	1	8	15	20	23	15	17	16	12	11	8	7	7	2	1	2	4	4	4	5	8	4	2	2	2	4	5	2	1	1
FBgn0000463	FBgn0000463	Dl	38	83	154	106	58	28	25	18	10	5	8	8	2	2	3	2	7	10	11	10	17	11	6	3	2	2	2	12	19	19
FBgn0000464	FBgn0000464	Lar	10	12	8	6	7	7	13	15	16	16	14	15	13	5	3	2	5	7	8	11	21	20	14	6	6	7	8	7	8	8
FBgn0000473	FBgn0000473	Cyp6a2	0	0	1	2	2	1	0	0	0	1	12	16	14	52	29	10	1	1	1	1	2	2	2	6	14	11	12	8	2	3
FBgn0000477	FBgn0000477	DNaseII	1	18	76	100	62	23	10	16	31	50	49	44	52	59	87	91	58	57	79	49	42	43	77	17	23	18	17	18	17	14
FBgn0000482	FBgn0000482	dor	20	20	21	28	25	22	18	19	13	10	13	11	9	7	6	7	11	11	11	13	15	9	6	6	7	8	9	10	12	12
FBgn0000489	FBgn0000489	Pka-C3	0	4	3	3	3	1	1	6	25	24	13	12	9	8	9	8	16	32	40	41	22	48	27	40	44	63	85	15	12	10
FBgn0000490	FBgn0000490	dpp	1	12	21	16	14	11	10	7	7	9	6	5	5	3	3	2	4	4	5	9	10	8	5	5	6	7	8	4	2	1
FBgn0000492	FBgn0000492	Dr	0	7	17	33	30	29	19	14	8	9	5	4	5	2	2	3	6	10	10	8	12	7	3	2	4	5	5	2	1	1
FBgn0000499	FBgn0000499	dsh	68	81	37	42	43	43	30	39	26	17	22	17	12	7	6	8	14	16	18	22	32	22	14	20	21	29	37	23	29	32
FBgn0000500	FBgn0000500	Dsk	0	0	0	0	0	0	0	0	0	1	2	3	4	3	1	2	2	2	1	1	8	7	3	2	5	9	11	2	2	2
FBgn0000504	FBgn0000504	dsx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	3	5	4	2	3	8	9	8	3	1	1
FBgn0000520	FBgn0000520	dwg	44	22	23	29	28	31	14	15	10	8	8	7	11	6	6	5	7	7	7	10	14	8	5	5	7	7	10	14	16	19
FBgn0000524	FBgn0000524	dx	84	28	24	38	38	32	24	15	9	6	4	3	5	4	4	7	13	16	19	20	29	14	5	5	4	5	6	26	43	44
FBgn0000527	FBgn0000527	e	0	0	0	0	1	2	2	2	5	19	6	7	3	1	3	0	9	344	1236	116	3	15	87	291	35	6	3	26	1	1
FBgn0000529	FBgn0000529	bsh	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	2	2	1	0	0	0	1	0	0	0	0
FBgn0000533	FBgn0000533	ea	60	59	17	10	13	11	13	17	11	17	24	20	25	22	21	16	10	5	4	12	8	8	6	6	6	7	11	23	25	31
FBgn0000535	FBgn0000535	eag	0	0	0	0	0	0	0	1	2	3	3	3	3	1	1	1	11	20	22	5	3	3	3	2	2	2	2	1	0	0
FBgn0000536	FBgn0000536	eas	15	9	7	8	9	13	20	16	25	22	24	29	24	19	14	9	14	17	17	17	17	13	14	21	23	23	22	17	23	21
FBgn0000541	FBgn0000541	E(bx)	50	38	47	48	43	20	43	18	21	12	23	25	10	9	7	6	14	19	20	19	26	19	12	6	10	11	9	16	46	43
FBgn0000542	FBgn0000542	ec	2	29	38	46	42	34	37	30	20	23	10	9	10	6	4	5	12	14	16	15	38	24	12	6	4	2	2	5	2	2
FBgn0000543	FBgn0000543	ecd	37	21	30	31	27	25	18	17	13	14	13	11	16	10	9	11	18	26	33	44	45	22	14	14	16	16	16	23	24	25
FBgn0000546	FBgn0000546	EcR	11	12	7	12	15	12	13	16	13	11	7	7	3	3	4	6	23	17	5	15	21	14	7	4	3	3	3	6	7	8
FBgn0000547	FBgn0000547	ed	47	86	104	132	139	90	126	94	69	37	30	31	15	11	6	7	25	31	48	38	74	70	29	11	12	8	8	24	29	28
FBgn0000551	FBgn0000551	Edg78E	0	1	0	0	0	1	0	3	23	80	11	9	3	4	16	3	1	1	1	5068	83	175	49	73	0	0	1	0	0	0
FBgn0000552	FBgn0000552	Edg84A	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1196	19	42	6	23	0	0	0	0	0	0
FBgn0000557	FBgn0000557	Ef1alpha100E	0	4	2	1	2	5	8	7	4	2	2	2	9	13	7	20	45	67	83	204	324	723	585	127	109	107	92	60	17	16
FBgn0000559	FBgn0000559	EF2	1846	2951	3136	2576	2633	2463	2264	2312	2055	1748	1943	1884	2527	2248	1979	1375	1460	1516	1437	1233	1363	944	829	1003	1032	1041	1078	2102	2006	2017
FBgn0000560	FBgn0000560	eg	0	0	0	3	3	2	1	0	0	1	0	0	0	0	0	0	1	1	1	1	2	6	2	1	1	2	3	0	0	0
FBgn0000562	FBgn0000562	egl	55	17	4	8	19	25	25	20	17	16	15	15	15	20	17	14	21	20	21	15	19	21	18	25	20	20	20	32	39	41
FBgn0000565	FBgn0000565	Eip71CD	16	24	15	18	26	34	15	14	16	8	33	26	52	52	56	95	101	91	94	40	43	51	12	44	52	44	63	35	29	59
FBgn0000566	FBgn0000566	Eip55E	101	127	71	51	71	80	73	71	51	31	42	42	140	148	155	72	64	50	40	22	30	31	30	27	29	28	36	70	87	93
FBgn0000567	FBgn0000567	Eip74EF	0	0	0	0	1	1	1	3	14	38	4	5	0	2	4	8	24	48	18	21	16	62	22	42	4	2	3	4	2	2
FBgn0000575	FBgn0000575	emc	14	69	126	166	232	187	148	63	65	60	44	53	27	26	18	22	49	79	92	89	94	54	32	24	19	20	16	18	24	23
FBgn0000576	FBgn0000576	ems	1	18	34	40	33	18	17	11	6	8	5	4	3	3	2	2	6	8	8	7	14	5	1	1	1	1	1	1	0	0
FBgn0000577	FBgn0000577	en	1	12	39	44	33	19	13	6	3	4	3	3	3	1	1	2	4	6	7	6	9	5	2	1	2	3	3	0	0	0
FBgn0000578	FBgn0000578	ena	22	45	52	34	34	24	33	24	27	27	15	17	7	5	4	4	10	20	35	24	33	21	10	17	5	4	4	9	13	13
FBgn0000579	FBgn0000579	Eno	411	90	14	13	23	111	98	135	108	174	293	282	574	654	718	507	265	119	112	75	117	145	315	628	756	599	285	636	333	294
FBgn0000581	FBgn0000581	E(Pc)	51	54	41	37	35	20	23	21	16	13	14	14	13	7	6	5	12	12	14	14	20	13	8	7	9	11	12	22	34	37
