Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0030177	FBgn0030177	CG2972	18	12	7	6	6	6	6	9	6	4	7	7	2	2	8	7	11	6	2	4	4	14	5	9	7	41	38	11	11
FBgn0030178	FBgn0030178	CG2974	12	7	3	4	3	6	2	3	4	3	4	6	1	0	5	9	6	5	5	6	1	7	3	4	4	14	11	9	2
FBgn0030181	FBgn0030181	CG12645	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	34	5
FBgn0030183	FBgn0030183	CG15309	24	66	47	45	34	11	37	24	15	40	32	24	39	190	193	16	14	13	28	138	138	60	24	15	14	32	28	28	15
FBgn0030187	FBgn0030187	Ipod	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	1	3	2	0	0
FBgn0030195	FBgn0030195	CG2898	9	0	0	1	2	1	0	1	1	1	1	1	0	1	0	1	1	1	1	2	0	0	1	1	1	0	0	85	9
FBgn0030196	FBgn0030196	Psf3	6	3	1	1	1	0	0	1	0	1	1	2	0	0	1	2	2	1	0	1	1	2	1	1	1	14	12	2	2
FBgn0030202	FBgn0030202	CG12640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0030206	FBgn0030206	CG2889	13	11	9	4	4	4	3	4	3	10	9	10	3	5	4	3	3	4	2	3	5	7	3	4	3	7	7	10	5
FBgn0030207	FBgn0030207	CG2887	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	42	4
FBgn0030208	FBgn0030208	PPP4R2r	113	260	188	23	25	15	25	23	19	38	48	42	28	26	35	16	23	14	22	44	81	156	12	19	13	99	109	9	37
FBgn0030215	FBgn0030215	CG15296	29	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	8	9	0	0	0	0	0	0	142	14
FBgn0030217	FBgn0030217	CG2124	2	2	2	1	1	1	1	1	1	2	2	3	0	0	1	1	1	1	1	0	0	1	0	1	1	4	2	3	1
FBgn0030218	FBgn0030218	CG1628	23	4	1	13	25	58	17	37	39	11	31	36	0	1	1	7	6	6	2	5	29	3	6	11	11	9	6	151	30
FBgn0030222	FBgn0030222	CG9806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18
FBgn0030223	FBgn0030223	CG2111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20
FBgn0030224	FBgn0030224	CG12637	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	26	2
FBgn0030228	FBgn0030228	BTBD9	35	11	12	8	12	8	13	9	8	11	13	16	1	2	5	4	8	7	3	9	8	6	10	11	10	39	60	40	21
