gene	locus	altname	fpkm (geomean)
lit	b1139		3.266
intE	b1140		2.498
na	b1141		3.051
na	b1146		-11.25
ymfN	b1149		0.8767
ymfK	b1145		5.484
ymfI	b1143		5.108
ymfJ	b1144		0.1768
jayE	b1152		0.5419
ymfQ	b1153		-3.07
ycfK	b1154		-1.217
ymfL	b1147		0.2094
ymfM	b1148		-0.8069
mcrA	b1159		3.34
na	b1150		-21.51
beeE	b1151		-2.398
pinE	b1158		-0.9601
na	b4519		-16.06
na	b1160		-6.192
tfaP	b1155		1.701
tfaE	b1156		1.813
stfE	b1157		-3.833
ycgX	b1161		2.992
bluR	b1162		4.633
bluF	b1163		3.034
na	b1167		3.024
na	b1164		1.56
na	b1166		2.13
na	b1165		3.32
pdeG	b1168		0.8585
na	b4520		-5.521
na	b1169		3.262
na	b1172		3.401
na	b4594		-10.21
na	b4593		-11.78
na	b1170		2.721
na	b1171		4.219
na	b4521		-13.37
na	b1173		-3.612
na	b1174		6.581
na	b1177		4.913
minD	b1175		6.409
na	b1178		5.221
minC	b1176		5.715
ycgL	b1179		6.604
ycgM	b1180		5.028
hlyE	b1182		2.482
ycgN	b1181		4.75
na	G0-8898		-22.7
dsbB	b1185		4.859
umuD	b1183		2.929
umuC	b1184		2.024
fadR	b1187		4.732
nhaB	b1186		4.31
dadX	b1190		3.462
ycgB	b1188		4.98
dadA	b1189		4.117
cvrA	b1191		3.354
ldcA	b1192		3.902
ycgR	b1194		1.034
emtA	b1193		4.747
na	b1195		5.168
ycgY	b1196		2.007
treA	b1197		3.604
dhaL	b1199		4.862
dhaM	b1198		5.227
dhaR	b1201		2.758
na	b1202		2.555
dhaK	b1200		5.324
pth	b1204		4.888
na	b1205		5.313
dauA	b1206		2.791
ychF	b1203		5.289
icd	b1136		8.019
hemA	b1210		4.409
prs	b1207		6.356
ispE	b1208		4.562
lolB	b1209		5.051
ychA	b1214		4.857
prfA	b1211		4.184
prmC	b1212		3.187
na	b1213		3.24
na	b4419		-21.88
na	b4421		-22.7
na	b4420		-22.7
na	b4423		-21.91
na	b4422		-22.7
na	b4424		-22.7
na	b1217		5.06
chaA	b1216		4.239
chaC	b1218		4.142
kdsA	b1215		6.11
na	b1220		2.926
na	b1219		5.642
narK	b1223		2.64
na	b1228		-18.81
na	b1230		-22.7
na	b1221		4.966
narX	b1222		3.589
na	b1231		-22.7
na	b4425		-22.7
na	b1229		-22.7
narG	b1224		3.414
narH	b1225		3.38
narJ	b1226		2.9
narI	b1227		3.402
ychJ	b1233		4.329
purU	b1232		5.701
rssA	b1234		4.589
rssB	b1235		4.631
galU	b1236		6.012
tdk	b1238		4.616
na	b1239		0.771
na	b1240		-6.576
na	b1237		8.698
ychE	b1242		3.1
oppB	b1244		5.496
oppC	b1245		5.171
yciU	b1248		6.157
oppD	b1246		5.355
oppF	b1247		5.89
na	b4595		6.947
clsA	b1249		4.904
kch	b1250		3.816
na	b1251		6.804
adhE	b1241		7.669
yciA	b1253		5.201
oppA	b1243		7.485
yciB	b1254		4.746
tonB	b1252		5.389
yciC	b1255		4.638
na	b1256		4.167
yciE	b1257		3.562
na	b1259		4.85
na	b1258		3.472
trpC	b1262		5.201
trpA	b1260		5.954
trpB	b1261		5.794
na	b1265		-22.7
yciQ	b1268		2.14
yciV	b1266		4.232
yciO	b1267		5.149
rluB	b1269		4.842
trpD	b1263		5.308
trpE	b1264		5.548
btuR	b1270		4.414
yciK	b1271		4.472
sohB	b1272		5.033
na	b1273		6.018
na	b4522		-13.08
na	b4523		5.747
cysB	b1275		4.998
topA	b1274		5.192
ribA	b1277		5.173
pgpB	b1278		4.027
lapA	b1279		5.366
lapB	b1280		4.461
na	b1283		5.892
acnA	b1276		4.713
pyrF	b1281		4.509
na	b1282		4.775
yciT	b1284		4.609
na	b4596		5.597
pdeR	b1285		4.213
yciW	b1287		4.252
rnb	b1286		5.506
na	b1290		3.793
ycjD	b1289		2.367
na	b1295		4.501
puuP	b1296		2.322
fabI	b1288		6.84
puuD	b1298		2.954
sapD	b1291		4.265
sapC	b1292		2.788
sapB	b1293		3.475
sapA	b1294		3.834
puuR	b1299		3.949
puuA	b1297		3.891
puuC	b1300		2.857
puuB	b1301		2.343
puuE	b1302		2.269
na	b1307		-0.7204
pspF	b1303		3.189
na	b1304		4.677
na	b1305		2.466
na	b1306		3.33
ycjN	b1310		-0.8115
pspE	b1308		5.388
ycjM	b1309		0.2095
na	b1311		-0.9079
ycjP	b1312		-0.7213
ycjR	b1314		1.27
ycjQ	b1313		0.7971
ompG	b1319		-0.3406
ycjW	b1320		3.36
ycjS	b1315		1.079
ycjT	b1316		0.6679
ycjU	b1317		-3.979
ycjV	b1318		0.09988
na	b4524		-22.7
ycjX	b1321		3.343
ycjF	b1322		3.158
tyrR	b1323		4.871
na	b4525		-5.366
na	b4673		-22.7
ycjY	b1327		2.383
na	b1328		3.463
ycjG	b1325		3.664
mpaA	b1326		4.666
insH-4	b1331		-22.7
ynaI	b1330		3.996
mppA	b1329		4.018
na	b1332		7.207
tpx	b1324		7.533
uspE	b1333		6.319
ogt	b1335		3.64
na	b4426		-18.04
abgT	b1336		0.9951
abgR	b1339		2.536
abgB	b1337		0.7844
abgA	b1338		-0.03289
na	G0-8900		-22.7
smrA	b1340		3.873
fnr	b1334		6.31
dgcM	b1341		4.293
na	b4699		-22.7
zntB	b1342		3.982
dbpA	b1343		3.038
na	b1346		-21.02
intR	b1345		1.576
ttcA	b1344		4.441
na	b1347		-21.61
na	b1348		-18.97
na	b1351		-12.5
na	b4526		-22.7
na	b1352		-15.89
na	b1355		-22.7
recT	b1349		2.43
recE	b1350		1.091
sieB	b1353		2.699
na	b4527		-22.1
na	b1357		2.018
ydaT	b1358		1.352
ydaW	b1361		2.05
ydaU	b1359		1.856
ydaV	b1360		1.065
trkG	b1363		3.33
na	b1362		-4.471
na	b4528		-18.85
na	b1356		6.144
insH-5	b1370		2.733
na	b1371		-22.7
na	b4638		-22.7
ynaA	b1368		2.286
na	b1369		-22.7
na	b1365		-5.146
na	b1366		-0.4433
na	b1375		2.833
pinR	b1374		2.7
stfR	b1372		1.3
na	b1373		-10.84
na	b4427		-22.7
na	b1377		0.7381
uspF	b1376		6.981
ldhA	b1380		3.562
na	b4529		5.363
hslJ	b1379		3.781
na	b1383		4.307
ydbK	b1378		4.55
na	b1386		1.677
ydbH	b1381		3.027
na	b1382		-5.745
feaB	b1385		2.664
feaR	b1384		2.097
paaZ	b1387		-0.1171
na	b1389		-6.699
paaC	b1390		-0.6371
paaA	b1388		-0.4139
paaD	b1391		-0.4148
paaK	b1398		2.408
na	b4674		-22.7
paaE	b1392		0.9279
paaF	b1393		-0.04425
paaG	b1394		0.1171
paaH	b1395		1.007
paaI	b1396		1.297
paaJ	b1397		2.301
ydbA	b4492		-22.7
insI-2	b1404		-22.7
paaX	b1399		3.836
paaY	b1400		4.055
ynbA	b1408		-13.92
ynbB	b1409		-10.42
pdxI	b1406		3.552
na	b1405		3.668
ynbD	b1411		2.281
ynbC	b1410		1.689
ydbD	b1407		1.011
na	b1412		4.562
na	b1401		2.083
insD-2	b1402		-11.03
na	G0-10542		4.218
na	b1403		4.72
ydcF	b1414		4.571
hrpA	b1413		4.059
na	b4597		-22.7
aldA	b1415		4.62
na	b1419		0.6559
na	b1416		5.052
na	b1417		6.2
cybB	b1418		5.598
trg	b1421		1.965
na	b4428		-8.391
na	b1420		-1.431
na	b4429		-22.7
ydcJ	b1423		2.686
ydcI	b1422		2.956
opgD	b1424		4.604
na	b1426		6.812
rimL	b1427		4.277
ydcK	b1428		3.683
na	b4530		-22.7
tehA	b1429		2.93
tehB	b1430		5.094
na	b4531		-0.7613
ydcL	b1431		5.854
insQ	b1432		4.163
sutR	b1434		3.176
ydcO	b1433		1.82
na	b4532		-9.881
na	b1436		-9.395
rlhA	b1435		4.015
na	b1438		4.083
ydcT	b1441		2.257
ydcR	b1439		3.265
na	b4598		-22.7
patD	b1444		2.609
ydcS	b1440		3.32
na	b1442		1.939
ydcV	b1443		1.507
na	b1445		4.222
na	b1446		6.496
curA	b1449		3.938
mcbR	b1450		3.619
ydcZ	b1447		3.512
mnaT	b1448		5.143
yncD	b1451		2.582
na	b1455		-12.98
ansP	b1453		2.166
yncG	b1454		3.25
ydcC	b1460		-0.4106
na	b1458		1.214
na	b1459		-19.79
rhsE	b1456		1.275
ydcD	b1457		1.96
nhoA	b1463		2.5
na	b1461		4.496
yddH	b1462		2.954
yddK	b1471		-13.27
yddJ	b1470		-10.59
yddE	b1464		4.102
narU	b1469		-1.136
na	b1472		-21.22
na	b1474		1.686
yddG	b1473		3.615
fdnH	b1475		1.11
fdnI	b1476		2.659
na	G0-8902		-2.095
narV	b1465		0.06584
narW	b1466		0.862
narY	b1467		1.341
narZ	b1468		1.422
na	b1477		4.051
na	b1452		5.6
adhP	b1478		4.72
na	b1481		-4.359
na	b1480		8.778
maeA	b1479		5.161
na	b1487		1.722
ddpX	b1488		1.488
osmC	b1482		6.675
dosP	b1489		2.524
na	b1490		3.796
ddpF	b1483		1.659
ddpD	b1484		1.511
ddpC	b1485		1.512
na	b1486		0.7773
yddW	b1491		3.725
gadC	b1492		5.468
pqqL	b1494		2.618
ydeM	b1497		0.6131
yddA	b1496		1.64
yddB	b1495		2.465
ydeO	b1499		1.17
na	b1498		2.125
ydeQ	b1502		0.5726
na	b1500		-14.59
gadB	b1493		5.868
ydeP	b1501		2.04
ydeR	b1503		-0.4342
ydeT	b1505		0.9989
ydeS	b1504		-0.2768
na	b1506		-14.62
na	b1509		1.723
na	b1510		1.519
hipA	b1507		3.575
na	b1508		4.179
lsrR	b1512		2.945
lsrB	b1516		2.072
lsrK	b1511		2.352
tam	b1519		3.992
lsrF	b1517		2.457
na	b1518		3.207
lsrA	b1513		0.9198
na	b1514		0.8446
lsrD	b1515		0.781
yneE	b1520		2.763
uxaB	b1521		2.144
dgcF	b1522		1.941
yneG	b1523		3.133
glsB	b1524		3.701
yneJ	b1526		3.151
yneK	b1527		0.8545
sad	b1525		3.443
ydeA	b1528		3.133
na	b1531		3.759
marC	b1529		4.261
marR	b1530		3.321
na	b1532		0.05512
na	b4698		-22.7
na	b4599		-22.7
ydeE	b1534		2.185
eamA	b1533		3.812
na	b1536		3.688
dgcZ	b1535		3.365
ydeJ	b1537		2.408
dcp	b1538		4.553
ydfH	b1540		4.722
na	b1544		-21.72
ydfJ	b1543		0.5831
ydfI	b1542		2.019
na	b1541		4.976
pinQ	b1545		-7.061
ydfG	b1539		6.407
na	b1549		2.504
na	b4533		-4.507
na	b1546		2.786
na	b1547		0.2704
nohA	b1548		1.508
na	b1551		-22.11
na	b1552		-11.91
na	b1550		7.49
na	b1556		-17.4
na	b1558		-2.978
na	b1557		-1.36
ydfT	b1559		2.057
na	b1561		0.9292
ydfU	b1560		-3.571
na	b1553		-5.36
rrrQ	b1554		-2.399
na	b1555		-0.8176
na	b1562		6.418
ydfV	b1565		-13.06
na	b1566		3.169
na	b1567		-22.7
na	b1563		5.25
na	b1564		5.309
na	b1572		-22.7
na	b1571		-20.78
na	b1574		-22.7
na	b1573		-0.3391
na	b1568		-1.379
na	b1569		-15.24
dicA	b1570		6.288
na	b4534		-22.7
na	b1575		-11.64
na	b1576		-16.37
rspB	b1580		1.579
rspA	b1581		0.7831
na	b1582		3.751
ydfE	b1577		1.201
insD-7	b1578		-22.7
intQ	b1579		1.708
ynfB	b1583		5.957
speG	b1584		5.565
ynfD	b1586		4.268
ynfC	b1585		4.81
ynfE	b1587		2.211
ynfF	b1588		3.223
ynfG	b1589		3.098
ynfH	b1590		3.356
dmsD	b1591		3.907
na	b1595		2.529
mlc	b1594		4.266
na	b4601		-22.7
ynfM	b1596		3.182
clcB	b1592		1.76
ynfK	b1593		5.028
na	b1597		4.069
ydgD	b1598		4.843
na	b1599		0.9686
na	b1600		2.578
tqsA	b1601		2.597
pntB	b1602		6.814
ydgI	b1605		1.681
folM	b1606		3.475
na	b1607		3.748
rstA	b1608		5.287
na	b1604		5.258
rstB	b1609		3.881
tus	b1610		3.436
fumC	b1611		3.086
fumA	b1612		4.47
manA	b1613		4.88
uidC	b1615		0.6599
uidR	b1618		4.343
uidB	b1616		-2.043
uidA	b1617		0.6004
pntA	b1603		7.028
malI	b1620		2.627
na	b1614		5.85
malX	b1621		1.782
hdhA	b1619		5.869
malY	b1622		3.915
add	b1623		3.963
na	b4409		2.821
na	b1625		4.008
ydgJ	b1624		4.864
ydgK	b1626		4.715
rsxD	b1630		3.545
rsxG	b1631		3.533
dtpA	b1634		2.549
rsxE	b1632		3.315
nth	b1633		3.587
rsxA	b1627		4.342
rsxB	b1628		3.854
rsxC	b1629		3.58
pdxY	b1636		4.024
gstA	b1635		5.387
mliC	b1639		3.534
pdxH	b1638		4.774
anmK	b1640		3.823
tyrS	b1637		5.922
na	b1643		-0.1115
na	b1642		5.979
ydhJ	b1644		2.557
ydhK	b1645		1.56
na	b1641		7.78
sodC	b1646		5.155
na	b1648		4.933
nemR	b1649		2.636
ydhF	b1647		4.883
na	b1650		3.426
rnt	b1652		4.154
gloA	b1651		6.383
lhr	b1653		2.741
mepH	b1655		4.342
na	b1654		6.927
na	b4602		-22.7
ydhP	b1657		2.698
sodB	b1656		5.929
ydhC	b1660		2.87
purR	b1658		5.154
ydhB	b1659		3.043
mdtK	b1663		4.053
ribC	b1662		6.085
na	b1665		-22.7
na	b1666		-22.7
cfa	b1661		6.59
ydhQ	b1664		5.134
ydhT	b1669		1.543
na	b1667		7.638
ydhW	b1672		2.268
ydhV	b1673		1.729
ydhS	b1668		4.028
ydhY	b1674		0.605
ydhU	b1670		2.158
ydhX	b1671		1.841
na	b1675		5.749
pykF	b1676		6.847
sufE	b1679		4.393
ldtE	b1678		5.067
na	b1677		10.62
na	b4430		-22.7
sufA	b1684		4.562
na	b1685		5.681
sufS	b1680		4.64
sufD	b1681		4.75
sufC	b1682		4.661
sufB	b1683		4.754
na	b4431		-22.7
ydiN	b1691		-1.663
ydiM	b1690		-0.08116
ydiK	b1688		4.22
ydiL	b1689		0.6238
ydiB	b1692		1.043
ydiF	b1694		0.6625
ydiP	b1696		3.301
na	b1693		4.487
ydiO	b1695		1.154
ydiQ	b1697		0.4482
ydiR	b1698		1.494
ydiS	b1699		1.158
na	b1700		-7.901
fadK	b1701		0.9254
menI	b1686		5.309
ydiJ	b1687		4.74
ppsR	b1703		4.333
na	b1705		4.009
aroH	b1704		5.114
ydiV	b1707		3.892
ydiU	b1706		4.363
nlpC	b1708		6.088
btuC	b1711		3.224
btuD	b1709		4.306
btuE	b1710		5.326
ppsA	b1702		5.491
na	b1712		8.246
na	b1715		-22.7
pheS	b1714		5.25
pheT	b1713		5.734
na	b1716		8.622
na	b1717		7.139
infC	b1718		8.464
na	b1720		-3.921
na	b4535		-20.96
na	b1721		-0.2342
na	b1722		3.53
na	b1724		6.066
pfkB	b1723		5.495
yniA	b1725		4.912
yniB	b1726		4.912
ydjM	b1728		1.504
hxpB	b1727		4.794
ydjO	b1730		0.895
na	b1731		3.916
thrS	b1719		6.974
chbG	b1733		3.175
na	b1736		2.588
chbF	b1734		1.614
chbR	b1735		2.993
chbB	b1738		3.376
na	b1737		1.292
tcyP	b1729		5.996
katE	b1732		4.985
osmE	b1739		7.112
na	b1743		3.655
cho	b1741		2.974
ves	b1742		1.238
nadE	b1740		6.27
xthA	b1749		4.819
ydjX	b1750		2.797
ynjB	b1754		3.549
ydjY	b1751		3.54
astE	b1744		1.165
astB	b1745		1.81
astD	b1746		1.833
astA	b1747		1.681
astC	b1748		1.913
ynjE	b1757		4.122
ydjZ	b1752		3.1
ynjA	b1753		3.192
ynjC	b1755		1.901
ynjD	b1756		2.946
ynjF	b1758		3.222
na	b1759		3.558
na	b1760		2.689
ynjI	b1762		1.501
topB	b1763		4.142
ydjA	b1765		5.073
selD	b1764		5.761
sppA	b1766		4.277
ansA	b1767		4.502
ydjE	b1769		0.4962
pncA	b1768		4.577
ydjI	b1773		1.424
ydjH	b1772		1.043
ydjF	b1770		3.644
ydjG	b1771		2.163
ydjJ	b1774		1.01
ydjL	b1776		0.9818
ydjK	b1775		-0.2952
gdhA	b1761		7.041
na	b1777		6.036
msrB	b1778		5.526
yeaE	b1781		3.471
yeaD	b1780		5.121
na	b1782		5.94
dgcJ	b1786		2.74
cdgI	b1785		1.21
yeaH	b1784		4.66
na	b1788		-22.7
nimT	b1791		1.556
yeaK	b1787		4.955
yeaG	b1783		5.657
yeaO	b1792		4.815
na	b1789		3.003
nimR	b1790		3.176
na	b1793		4.698
na	b4676		-22.7
na	b4675		-22.7
dgcP	b1794		4.801
na	b1796		-18.98
na	b1797		-0.1443
leuE	b1798		2.722
na	b1795		7.835
dmlR	b1799		3.758
dmlA	b1800		2.859
yeaV	b1801		-0.2814
yeaW	b1802		0.9372
yeaX	b1803		1.515
rnd	b1804		3.393
na	G0-9384		-22.7
fadD	b1805		3.209
tsaB	b1807		4.115
yoaA	b1808		3.116
yeaY	b1806		4.251
yoaB	b1809		5.969
na	b1811		5.642
na	b1810		5.248
na	b1813		4.002
pabB	b1812		3.36
pdeD	b1815		2.136
sdaA	b1814		3.994
yoaE	b1816		3.71
na	b1817		6.889
manY	b1818		6.87
na	b1820		4.314
na	b1821		0.2785
rlmA	b1822		3.653
manZ	b1819		7.132
gapA	b1779		9.418
na	b1823		8.687
na	b1824		8.734
na	b1825		5.684
na	b1826		5.59
na	b4536		4.798
yebQ	b1828		0.8229
kdgR	b1827		4.999
htpX	b1829		5.669
proQ	b1831		6.153
na	b1830		5.614
msrC	b1832		6.801
rsmF	b1835		3.37
yebS	b1833		3.204
na	b1834		3.616
na	b1836		6.829
na	b1837		4.064
pphA	b1838		2.253
na	b4432		8.016
na	b4433		-18.85
na	b1839		4.81
yebZ	b1840		4.011
na	b1841		5.315
na	b1842		6.19
yobB	b1843		4.31
yebE	b1846		4.053
exoX	b1844		4.662
ptrB	b1845		3.528
na	b1848		5.785
yebF	b1847		6.258
purT	b1849		4.475
eda	b1850		5.494
edd	b1851		3.39
yebK	b1853		4.127
zwf	b1852		6.068
lpxM	b1855		4.823
na	b1856		3.923
pykA	b1854		6.33
znuA	b1857		4.157
na	b1860		4.272
na	b4677		-22.7
znuC	b1858		4.149
znuB	b1859		3.33
ruvA	b1861		4.666
yebB	b1862		1.078
ruvC	b1863		5.314
nudB	b1865		5.014
yebC	b1864		5.627
yecN	b1869		4.893
yecD	b1867		4.63
yecE	b1868		3.012
torZ	b1872		1.925
cutC	b1874		4.575
torY	b1873		-0.5735
cmoA	b1870		4.741
cmoB	b1871		4.209
aspS	b1866		5.598
yecM	b1875		4.484
yecT	b1877		1.998
na	b1882		2.669
cheR	b1884		0.8991
cheB	b1883		0.1896
na	b1881		2.438
na	G0-8903		-22.7
na	b1878		-1.671
na	b1879		1.812
flhB	b1880		0.264
tap	b1885		0.3839
argS	b1876		4.945
na	b1886		0.5396
cheA	b1888		1.22
na	b1887		2.391
flhC	b1891		3.578
flhD	b1892		3.989
na	b1889		0.548
motA	b1890		0.4182
uspC	b1895		4.329
na	G0-10539		1.929
insB-5	b1893		-10.1
na	b1894		2.036
na	b4460		2.293
araG	b1900		1.557
araF	b1901		1.813
na	b4537		5.515
ftnB	b1902		5.034
na	b4434		6.318
na	b4663		-22.7
na	b1904		0.2677
otsA	b1896		5.226
otsB	b1897		4.882
tyrP	b1907		2.735
ftnA	b1905		6.084
na	b1906		4.702
na	b1909		-22.7
na	b1910		-22.7
yecA	b1908		5.162
na	b1911		-22.7
pgsA	b1912		4.956
sdiA	b1916		3.594
na	b1915		5.101
uvrC	b1913		4.643
uvrY	b1914		5.747
na	b1917		4.591
na	b1918		4.327
dcyD	b1919		5.048
fliZ	b1921		2.315
na	b1922		1.374
na	b1924		0.9276
na	b1923		3.586
na	b1925		1.012
na	b1926		1.452
na	b1928		5.869
na	b1934		-16.77
na	b1933		-22.15
yedK	b1931		2.993
yedL	b1932		3.644
na	b1935		-13.82
amyA	b1927		5.042
yedE	b1929		4.634
na	b1930		5.098
fliL	b1944		1.24
na	b1936		-8.202
na	b1937		-0.7412
fliJ	b1942		-5.606
na	b1943		0.9925
fliM	b1945		1.404
na	b1946		1.266
na	b1920		6.882
na	b1947		-8.379
na	b1948		0.1125
na	b1949		-5.884
na	b1952		6.018
rcsA	b1951		2.606
na	b1953		4.963
na	b1954		-22.7
fliR	b1950		-1.357
na	b1938		0.4374
na	b1939		1.094
fliH	b1940		0.9046
fliI	b1941		0.2902
na	b1957		3.36
yedI	b1958		3.529
yedP	b1955		4.296
dgcQ	b1956		3.175
na	b4603		-22.7
yedJ	b1962		4.262
na	b1963		4.896
na	b1966		2.815
na	b1964		1.879
na	b1965		0.1933
yedA	b1959		-0.6768
vsr	b1960		2.898
dcm	b1961		4.365
na	b1970		3.388
msrQ	b1972		2.894
hchA	b1967		5.72
na	b1974		1.698
msrP	b1971		3.671
na	b1975		-22.7
hprS	b1968		3.396
hprR	b1969		4.743
zinT	b1973		2.242
na	b1977		-22.7
mtfA	b1976		4.817
na	b1979		-5.106
na	b1980		1.479
yeeJ	b1978		2.306
shiA	b1981		4.201
na	b1984		-22.7
na	b1986		-22.7
yeeO	b1985		2.47
amn	b1982		5.421
na	b1989		-22.7
na	b1983		5.797
nac	b1988		3.034
na	b4639		-22.7
cobT	b1991		2.958
cbl	b1987		4.171
ldtA	b1990		4.609
cobS	b1992		1.982
cobU	b1993		3.627
na	b4641		-8.74
na	b4640		3.673
insH-6	b1994		4.651
na	b4435		-2.103
na	b1998		4.627
na	b1999		1.442
cbeA	b2004		-12.01
na	b2003		-22.17
flu	b2000		3.294
yeeR	b2001		1.863
na	b2002		0.6885
cbtA	b2005		-6.382
na	b2006		-4.806
yoeF	b4538		1.915
na	b1995		2.874
insD-3	b1996		-10.95
na	G0-10543		4.216
na	b1997		4.699
yeeA	b2008		3.162
dacD	b2010		2.945
sbmC	b2009		4.344
na	b2007		8.001
sbcB	b2011		4.065
na	b2012		6.192
yeeE	b2013		4.471
yeeY	b2015		2.971
na	b2018		-22.7
yeeZ	b2016		5.293
plaP	b2014		4.72
na	b4678		-22.7
na	b4539		4.875
na	b2017		5.827
hisG	b2019		6.3
ugd	b2028		3.095
na	b2027		6.07
hisD	b2020		6.239
hisC	b2021		6.17
hisB	b2022		6.501
hisH	b2023		5.998
hisA	b2024		5.923
hisF	b2025		6.108
hisI	b2026		6.275
na	b4540		4.993
insH-7	b2030		4.973
wbbL	b2031		5.653
gnd	b2029		6.898
wbbK	b2032		5.152
wbbJ	b2033		5.187
wbbI	b2034		5.464
wbbH	b2035		4.498
glf	b2036		5.621
rfbX	b2037		4.739
rfbC	b2038		5.329
rfbA	b2039		5.709
wcaM	b2043		2.513
wzxC	b2046		0.02277
rfbD	b2040		5.245
rfbB	b2041		5.589
cpsG	b2048		0.6773
wcaJ	b2047		-0.01795
wcaL	b2044		1.575
wcaK	b2045		0.9082
cpsB	b2049		0.7631
fcl	b2052		0.4296
wcaF	b2054		-10.7
galF	b2042		6.478
gmd	b2053		0.5801
wcaE	b2055		-0.9092
wcaI	b2050		-0.02163
na	b2051		-8.203
wzc	b2060		-0.232
wzb	b2061		-15.98
wcaA	b2059		0.1323
wza	b2062		-1.714
wcaD	b2056		-0.08587
wcaC	b2057		0.1243
wcaB	b2058		-9.484
yegH	b2063		3.536
asmA	b2064		4.215
dcd	b2065		4.766
udk	b2066		4.508
dgcE	b2067		2.787
na	b2071		1.692
yegD	b2069		2.691
yegI	b2070		1.712
alkA	b2068		2.833
pphC	b2072		-1.115
yegL	b2073		0.6218
na	b4437		1.418
na	b4668		-22.7
na	b4436		8.102
na	b4667		-22.7
na	b2074		2.832
mdtB	b2075		2.063
mdtC	b2076		1.922
mdtD	b2077		1.655
baeS	b2078		2.014
baeR	b2079		3.695
na	b2083		-7.473
na	b4438		-22.7
yegQ	b2081		4.006
na	b2085		1.117
na	b2080		6.435
na	b2082		4.929
gatR	b2087		-8.928
yegS	b2086		4.377
na	b2088		-22.7
na	G0-10528		-22.7
insF-5	b2089		-22.7
na	b2090		5.732
gatD	b2091		6.504
na	b2093		7.824
gatA	b2094		7.365
na	b2092		7.166
yegX	b2102		2.98
na	b2105		6.007
gatZ	b2095		7.602
yegT	b2098		1.462
yegU	b2099		2.27
yegV	b2100		2.087
yegW	b2101		3.141
thiD	b2103		4.524
thiM	b2104		4.625
na	b2107		5.663
fbaB	b2097		6.101
rcnA	b2106		4.52
yehA	b2108		0.1015
yehB	b2109		1.007
na	b2110		-6.394
na	b2111		1.945
na	b2112		4.793
gatY	b2096		7.767
mrp	b2113		5.008
yehF	b2115		0.3602
yehK	b4541		-12.17
yehI	b2118		1.384
yehL	b2119		0.2769
na	b2116		1.481
na	b2117		-1.574
na	b2123		1.775
yehS	b2124		4.729
btsR	b2125		3.468
btsS	b2126		2.997
yehM	b2120		0.1872
yehP	b2121		0.2514
yehQ	b2122		0.9801
mlrA	b2127		4.245
na	b4542		-22.7
na	b2128		2.785
metG	b2114		5.473
yehX	b2129		2.915
yehY	b2130		2.593
na	b2131		4.283
bglX	b2132		4.336
yohC	b2135		3.331
pbpG	b2134		4.268
yohD	b2136		3.969
yohF	b2137		3.345
na	b4679		-22.7
na	b2139		-22.7
na	b2138		0.2248
dusC	b2140		2.732
na	b2145		4.047
sanA	b2144		3.573
cdd	b2143		4.079
dld	b2133		5.354
yohJ	b2141		2.834
yohK	b2142		3.024
na	b2148		2.217
preT	b2146		2.232
preA	b2147		2.472
mglA	b2149		2.666
galS	b2151		1.676
na	b2150		3.627
yeiB	b2152		3.216
yeiG	b2154		5.227
folE	b2153		6.712
yeiH	b2158		3.035
yeiE	b2157		3.21
nupX	b2161		0.6737
yeiI	b2160		3.723
yeiL	b2163		1.346
lysP	b2156		5.35
nfo	b2159		4.511
psuT	b2164		2.019
rihB	b2162		0.1092
psuG	b2165		0.9063
psuK	b2166		0.2451
fruA	b2167		4.528
setB	b2170		1.127
na	b4502		-17.04
fruK	b2168		4.511
na	b2169		4.108
lpxT	b2174		3.415
na	b2171		5.551
yeiR	b2173		3.282
yeiQ	b2172		2.389
pdeN	b2176		3.1
mepS	b2175		6.664
na	b2177		3.224
na	b2178		2.505
yejE	b2179		2.68
bcr	b2182		3.956
yejF	b2180		3.272
cirA	b2155		4.855
yejG	b2181		4.706
rsuA	b2183		4.995
radD	b2184		3.002
na	b2185		7.609
na	b2187		6.5
yejK	b2186		4.729
na	b2189		-22.7
yejO	b2190		2.968
na	b2188		4.202
insH-8	b2192		5.046
na	b2193		3.932
na	b2200		2.522
ccmA	b2201		3.786
napC	b2202		3.672
eco	b2209		3.783
na	b4604		-22.09
napB	b2203		2.676
napH	b2204		2.016
napG	b2205		1.905
ccmH	b2194		2.829
ccmG	b2195		2.997
ccmF	b2196		2.374
ccmE	b2197		3.551
na	b2198		-10.32
ccmC	b2199		2.955
napA	b2206		3.207
na	b2207		-3.812
napF	b2208		2.883
na	b2211		3.256
ftp	b2214		2.473
na	b2210		3.666
alkB	b2212		2.381
ada	b2213		2.981
na	b4439		-22.7
rcsD	b2216		4.492
na	b2225		1.264
rcsC	b2218		3.762
atoS	b2219		1.86
atoC	b2220		2.554
na	b2217		6.308
atoB	b2224		1.109
atoD	b2221		-3.943
atoA	b2222		-8.288
atoE	b2223		0.08366
na	b2227		1.677
yfaQ	b2226		0.9583
na	b2228		0.4367
yfaT	b2229		-2.869
yfaA	b2230		1.205
na	b4605		-22.7
ubiG	b2232		4.809
yfaL	b2233		2.455
gyrA	b2231		5.849
na	b2238		-13.24
nrdA	b2234		5.211
inaA	b2237		4.039
glpQ	b2239		3.837
glpT	b2240		1.226
rpnE	b2244		2.227
nrdB	b2235		5.378
