gene	locus	altname	fpkm (geomean)
ykfC	b0258		2.997
insH-1	b0259		4.956
na	b0263		-4.08
yagB	b0266		3.818
afuC	b0262		0.667
yagA	b0267		-0.2274
na	b4505		4.702
mmuP	b0260		2.682
mmuM	b0261		3.485
yagE	b0268		1.282
yagG	b0270		1.007
na	G0-10537		2.82
insB-2	b0264		-17.18
na	b0265		2.121
yagF	b0269		1.349
yagH	b0271		1.674
xynR	b0272		4.143
yagJ	b0276		2.588
yagK	b0277		3.29
yagL	b0278		1.992
yagM	b0279		-0.02206
na	G0-10538		2.773
insB-3	b0274		-11.04
na	b0275		2.659
yagN	b0280		5.65
argF	b0273		5.549
na	b4629		-22.7
intF	b0281		4.627
yagP	b0282		1.675
paoD	b0283		1.65
paoC	b0284		1.891
paoB	b0285		1.369
paoA	b0286		1.766
ykgJ	b0288		3.054
ecpR	b0294		0.5472
ecpB	b0292		0.6686
na	b0293		3.057
yagU	b0287		6.641
na	b4671		-22.7
na	b0295		3.067
na	b4506		-21.19
na	b0296		2.87
na	b4630		-22.7
eaeH	b0297		-6.089
ecpE	b0289		2.766
ecpD	b0290		2.107
ecpC	b0291		1.041
na	b4631		-22.7
na	b0301		1.447
na	b0303		-11.65
rclA	b0304		2.693
rclR	b0305		1.889
ykgH	b0310		0.1124
ykgE	b0306		1.828
ykgF	b0307		2.634
ykgG	b0308		2.415
na	b0298		-22.7
na	G0-10525		-22.7
insF-1	b0299		-22.7
ykgA	b0300		2.442
betA	b0311		2.562
na	b0313		3.507
betB	b0312		3.239
yahC	b0317		0.261
pdeL	b0315		3.208
betT	b0314		2.891
yahB	b0316		2.877
na	b0322		-16.59
yahD	b0318		2.087
yahI	b0323		0.07051
yahJ	b0324		3.297
yahE	b0319		-1.392
yahF	b0320		0.4267
yahG	b0321		0.2897
yahL	b0326		0.1421
na	b0327		-3.725
na	b0328		2.018
yahK	b0325		5.253
prpB	b0331		-3.151
prpR	b0330		1.429
prpE	b0335		0.4956
prpD	b0334		-0.6747
prpC	b0333		-0.6359
na	b0329		7.367
cynT	b0339		0.7489
cynS	b0340		2.44
cynX	b0341		0.7525
cynR	b0338		2.804
lacY	b0343		0.07406
na	b0342		2.171
lacZ	b0344		0.7022
lacI	b0345		3.753
mhpB	b0348		-2.489
mhpR	b0346		3.365
mhpA	b0347		0.1813
mhpC	b0349		0.811
na	b0353		1.347
frmB	b0355		3.235
na	b0354		4.328
mhpD	b0350		0.9433
mhpF	b0351		1.276
mhpE	b0352		1.149
codB	b0336		4.395
codA	b0337		5.151
na	b0357		4.824
yaiX	b0359		-11.35
frmA	b0356		4.687
na	b0358		2.161
yaiS	b0364		-1.847
na	b0365		1.129
yaiT	b0371		2.029
na	b0360		-22.7
na	G0-10541		-22.7
insD-1	b0361		-22.7
na	b0362		1.481
yaiP	b0363		1.417
tauB	b0366		1.285
na	b0367		-0.05828
na	b0368		2.08
hemB	b0369		5.05
iprA	b0375		0.1524
sbmA	b0377		3.16
yaiW	b0378		3.743
na	b0374		2.589
ampH	b0376		4.008
yaiY	b0379		1.212
na	b0380		3.818
insF-2	b0372		-11.49
na	G0-10529		3.406
na	b0373		4.901
ddlA	b0381		4.674
na	b0382		5.58
phoA	b0383		3.093
dgcC	b0385		1.411
na	b0384		4.704
na	b0387		4.105
proC	b0386		4.914
na	b0389		6.078
aroL	b0388		5.337
aroM	b0390		3.878
na	b0391		6.651
na	b0392		3.343
mak	b0394		3.886
rdgC	b0393		4.672
araJ	b0396		2.625
phoB	b0399		3.674
phoR	b0400		2.718
sbcC	b0397		3.018
sbcD	b0398		3.251
brnQ	b0401		3.961
proY	b0402		3.558
acpH	b0404		3.164
malZ	b0403		3.019
queA	b0405		3.756
tgt	b0406		4.856
na	b0407		7.066
yajD	b0410		5.637
na	b0409		5.102
secD	b0408		5.346
yajI	b0412		2.999
nrdR	b0413		5.553
ribD	b0414		4.712
na	b0411		6.12
na	b0415		5.502
nusB	b0416		6.364
thiL	b0417		4.259
pgpA	b0418		5.636
yajO	b0419		4.949
dxs	b0420		4.619
ispA	b0421		4.683
na	b0422		6.049
thiI	b0423		4.153
yajL	b0424		4.596
panE	b0425		4.568
yajR	b0427		2.976
na	b0426		6.642
cyoE	b0428		5.387
ampG	b0433		3.339
yajG	b0434		5.599
bolA	b0435		6.935
cyoA	b0432		6.653
na	b0429		5.39
cyoC	b0430		5.59
cyoB	b0431		6.164
clpP	b0437		6.555
na	G0-8861		-22.7
na	b0436		7.034
clpX	b0438		6.513
na	b0440		7.877
lon	b0439		5.604
ybaV	b0442		2.767
fadM	b0443		3.003
queC	b0444		4.378
ybaE	b0445		2.213
decR	b0447		2.499
na	b0450		0.02417
mdlA	b0448		2.709
mdlB	b0449		2.424
na	b0441		5.508
cof	b0446		3.1
amtB	b0451		3.177
tesB	b0452		4.387
na	b0455		-3.662
atl	b0454		5.278
ybaY	b0453		5.108
na	b0456		2.668
ylaC	b0458		4.149
pdeB	b0457		3.132
maa	b0459		3.896
na	b0460		7.125
tomB	b0461		5.03
acrR	b0464		3.799
acrA	b0463		5.103
na	b0466		-1.849
na	b0468		3.805
priC	b0467		3.68
mscK	b0465		3.754
acrB	b0462		5.157
na	b0469		5.552
dnaX	b0470		4.237
na	b0471		6.599
recR	b0472		5.546
hemH	b0475		3.791
aes	b0476		2.027
na	b0473		5.642
gsk	b0477		3.93
adk	b0474		6.593
fsr	b0479		2.789
ybaL	b0478		4.015
na	b0481		4.874
ushA	b0480		4.797
na	b4585		-22.7
ybaP	b0482		3.877
na	b0483		4.287
glsA	b0485		3.668
ybaT	b0486		3.413
cueR	b0487		4.521
na	b0488		3.89
na	b0489		4.475
fetA	b0490		3.955
fetB	b0491		3.613
copA	b0484		5.657
cnoX	b0492		5.446
na	b4632		-22.7
rhsD	b0497		2.172
ybbC	b0498		2.61
ylbH	b0499		-0.08693
na	b0500		-7.724
allS	b0504		0.4008
selU	b0503		2.618
ylbG	b0502		3.615
allA	b0505		2.285
ybbO	b0493		4.356
na	b0494		4.221
na	b0495		3.53
ybbP	b0496		2.488
glxR	b0509		0.8209
hyi	b0508		0.5676
allB	b0512		0.8177
gcl	b0507		1.122
ybbY	b0513		0.9134
allR	b0506		5.252
glxK	b0514		1.701
na	b0510		-22.17
ybbW	b0511		-1.272
allE	b0515		3.784
allD	b0517		-0.1954
allC	b0516		2.515
fdrA	b0518		-0.8479
na	b4507		-3.494
ylbE	b0519		0.6012
ylbF	b0520		0.7455
ybcF	b0521		1.077
lpxH	b0524		3.892
purK	b0522		4.681
na	b0523		4.912
ybcI	b0527		1.252
na	b0528		4.538
cysS	b0526		4.899
ppiB	b0525		7.2
na	b0531		-13.75
sfmA	b0530		1.24
sfmF	b0534		-1.58
sfmD	b0532		0.888
na	b0536		-22.7
sfmH	b0533		-0.09931
fimZ	b0535		0.3192
folD	b0529		5.192
na	b0539		-9.81
na	b4508		-17.96
intD	b0537		4.437
na	b0542		3.348
na	b0540		-22.7
na	G0-10530		-22.7
insF-3	b0541		-22.7
ybcK	b0544		0.5604
emrE	b0543		3.845
ybcL	b0545		2.714
ybcQ	b0551		0.1274
ybcM	b0546		4.013
na	b4588		-22.7
ybcN	b0547		-7.55
na	b0548		-22.7
na	b0549		-14.85
rusA	b0550		-12.21
na	b4509		-22.7
insH-2	b0552		4.978
na	b0559		-3.477
ybcV	b0558		-1.999
nohD	b0560		0.3765
na	b0554		-5.192
rrrD	b0555		2.546
rzpD	b0556		1.268
na	b4510		-18.18
na	b0557		5.569
na	b4589		-5.98
na	b0561		-1.09
na	b0562		2.447
na	b0563		-15.16
appY	b0564		5.453
na	b0553		7.041
na	b4635		-22.7
envY	b0566		1.611
ybcH	b0567		2.576
cusS	b0570		3.33
na	b0571		4.52
nfrA	b0568		2.611
nfrB	b0569		1.656
na	b0573		5.735
cusC	b0572		4.169
pheP	b0576		3.45
ybdG	b0577		3.874
ybdF	b0579		4.204
cusA	b0575		3.171
na	b0574		4.171
nfsB	b0578		5.8
na	b0580		3.422
na	b4415		-21.34
ybdK	b0581		3.919
insL-2	b0582		3.775
entD	b0583		2.496
fes	b0585		3.154
fepA	b0584		4.127
entS	b0591		2.454
na	b0565		8.481
na	b0592		3.37
fepE	b0587		0.288
fepC	b0588		3.166
fepG	b0589		1.91
fepD	b0590		2.373
na	b4511		2.415
entF	b0586		3.929
entC	b0593		3.757
entE	b0594		3.617
entH	b0597		4.248
na	b4512		0.2514
entB	b0595		4.142
entA	b0596		3.994
ybdO	b0603		1.133
cstA	b0598		3.845
hcxA	b0599		3.611
ybdL	b0600		3.422
dsbG	b0604		4.245
ybdM	b0601		2.84
ybdN	b0602		1.047
ybdR	b0608		2.675
na	b0607		5.727
rnk	b0610		4.504
citF	b0615		-0.6999
citE	b0616		-4.347
na	b0617		-15.12
rna	b0611		4.842
ahpF	b0606		5.481
citT	b0612		0.7957
citG	b0613		-7.765
citX	b0614		-8.814
citC	b0618		-8.066
dcuC	b0621		3.202
na	b0622		2.785
dpiB	b0619		2.893
dpiA	b0620		3.315
ahpC	b0605		8.352
na	b0624		4.26
na	b0627		5.182
na	b0625		3.709
na	b0626		3.286
na	b0623		10.79
ybeF	b0629		1.401
lipB	b0630		4.71
lipA	b0628		5.3
na	b0631		6.092
dacA	b0632		5.142
mrdB	b0634		3.69
rlpA	b0633		5.119
rlmH	b0636		4.218
na	b0635		3.874
rsfS	b0637		5.453
cobC	b0638		2.956
nadD	b0639		4.398
holA	b0640		4.457
lptE	b0641		5.705
ybeQ	b0644		1.343
ybeL	b0643		5.633
ybeT	b0647		-3.507
hscC	b0650		1.518
ybeR	b0645		-7.271
djlB	b0646		0.5323
rihA	b0651		3.492
ybeU	b0648		0.8936
djlC	b0649		2.129
gltL	b0652		4.162
na	b0653		3.421
gltJ	b0654		3.379
leuS	b0642		5.757
na	G0-9383		-1.578
gltI	b0655		5.599
insH-3	b0656		4.966
lnt	b0657		4.059
ybeX	b0658		5.798
na	b0664		-22.7
na	b0665		-22.7
miaB	b0661		4.934
ybeY	b0659		5.534
ybeZ	b0660		5.757
na	b0668		-22.7
ubiF	b0662		4.465
na	b0666		-22.7
na	b0670		-22.7
na	b0672		-22.7
na	b0673		-22.7
umpH	b0675		5.241
asnB	b0674		5.184
nagC	b0676		4.65
nagA	b0677		4.516
nagB	b0678		4.755
nagE	b0679		4.295
na	b0681		1.008
chiQ	b0682		2.475
glnS	b0680		5.786
fur	b0683		6.795
na	b4637		-22.7
na	b0685		4.595
na	b0686		4.139
fldA	b0684		6.345
seqA	b0687		5.679
ybfP	b0689		2.152
na	b0691		-16.87
na	b4590		-20.29
na	b0690		-0.04593
na	b4636		-22.7
potE	b0692		2.523
speF	b0693		0.2178
na	b0699		6.058
kdpB	b0697		1.228
pgm	b0688		5.797
rhsC	b0700		1.545
ybfB	b0702		-0.06053
na	b4514		-8.83
kdpA	b0698		-0.2766
na	b4513		-22.7
na	b0694		2.862
kdpD	b0695		3.147
na	b0696		2.585
ybfD	b0706		0.6641
ybfL	b0705		0.1967
ybfO	b0703		0.5697
ybfC	b0704		2.522
dtpD	b0709		2.927
na	b0707		4.297
phr	b0708		3.358
ybgI	b0710		5.561
ybgQ	b0718		-0.625
ybgD	b0719		0.3334
nei	b0714		3.43
abrB	b0715		2.299
ybgO	b0716		1.17
ybgP	b0717		0.06953
pxpB	b0711		5.306
pxpC	b0712		5.077
pxpA	b0713		4.428
gltA	b0720		7.191
sdhB	b0724		5.824
na	b0721		4.906
na	b0722		5.015
sdhA	b0723		5.507
sucA	b0726		5.464
na	b0727		6.235
mngA	b0731		-1.305
na	b0730		3.593
mngB	b0732		2.608
na	b4515		-12.27
na	b0735		5.929
cydA	b0733		6.344
na	b0738		4.52
cydB	b0734		6.172
ybgC	b0736		5.431
na	b0737		5.185
tolA	b0739		4.213
sucC	b0728		6.225
sucD	b0729		6.472
na	b0740		6.003
na	b0743		-22.7
na	b0742		5.948
pal	b0741		7.565
na	b0744		-22.7
na	b0745		-22.7
na	b0746		-22.7
na	b0747		-22.7
na	b0748		-22.7
na	b0749		-22.7
nadA	b0750		5.872
na	b0753		4.091
pnuC	b0751		5.783
zitB	b0752		3.803
aroG	b0754		6.797
galT	b0758		3.727
galM	b0756		5.891
galK	b0757		3.998
galE	b0759		4.433
na	b0762		8.037
modE	b0761		4.242
modF	b0760		4.515
modC	b0765		2.963
ybhA	b0766		3.809
na	b0763		3.92
modB	b0764		3.309
na	b0755		7.512
ybhD	b0768		0.8847
ybhI	b0770		-0.209
ybhH	b0769		-1.333
ybhJ	b0771		1.077
pgl	b0767		5.71
ybhB	b0773		5.435
bioA	b0774		3.462
ybhC	b0772		5.07
na	b4591		-22.7
ybhK	b0780		4.02
bioB	b0775		4.047
bioF	b0776		3.282
bioC	b0777		3.054
bioD	b0778		3.933
uvrB	b0779		4.571
moaA	b0781		5.311
moaB	b0782		6.17
moaC	b0783		5.733
na	b0784		5.014
na	b0785		5.668
ybhM	b0787		1.95
na	b0786		5.779
ybhQ	b0791		3.692
ybhR	b0792		2.907
ybhN	b0788		2.625
clsB	b0789		3.497
ybhP	b0790		4.034
na	b0798		2.218
rhlE	b0797		3.33
dinG	b0799		2.502
ybhS	b0793		2.914
ybhF	b0794		3.867
na	b0795		4.311
cecR	b0796		3.145
ybiB	b0800		5.275
na	b0802		4.38
na	b0803		4.745
ybiX	b0804		2.973
hcxB	b0801		5.508
na	b0806		3.559
rlmF	b0807		3.793
ybiO	b0808		2.513
glnQ	b0809		5.305
na	b0810		5.381
fiu	b0805		3.604
na	b0811		6.915
rhtA	b0813		2.338
na	b0812		7.911
na	b0816		-11.93
na	b4416		-22.7
opgE	b0815		2.582
ldtB	b0819		5.627
na	b0817		4.351
ybiR	b0818		2.502
ybiU	b0821		3.249
ybiT	b0820		4.839
ybiY	b0824		-2.013
ybiV	b0822		4.532
ybiW	b0823		1.539
fsaA	b0825		2.796
ompX	b0814		8.389
moeB	b0826		3.849
moeA	b0827		4.126
iaaA	b0828		5.833
gsiA	b0829		4.996
na	b0831		3.984
gsiB	b0830		4.709
gsiD	b0832		2.89
pdeI	b0833		3.698
dgcI	b0834		3.191
rimO	b0835		4.137
bssR	b0836		6.426
yliI	b0837		2.932
gstB	b0838		5.482
ybjG	b0841		4.281
deoR	b0840		4.629
na	b0843		3.9
mdfA	b0842		3.361
na	b4417		-22.7
dacC	b0839		5.458
ybjL	b0847		4.098
rcdA	b0846		2.852
na	b0848		3.321
na	b0849		4.095
ybjI	b0844		4.338
ybjJ	b0845		3.237
rimK	b0852		3.481
na	b0850		4.022
nfsA	b0851		4.229
ybjN	b0853		5.223
potG	b0855		3.558
potF	b0854		4.758
ybjO	b0858		3.013
potH	b0856		2.545
potI	b0857		2.98
rlmC	b0859		2.75
artM	b0861		4.108
artQ	b0862		4.237
artP	b0864		5.053
artI	b0863		5.733
artJ	b0860		6.657
ybjP	b0865		5.499
ybjT	b0869		3.704
ltaE	b0870		4.706
na	b0866		5.544
amiD	b0867		4.568
ybjS	b0868		3.89
hcr	b0872		1.527
hcp	b0873		0.7106
lysO	b0874		3.935
aqpZ	b0875		3.294
poxB	b0871		5.015
ybjD	b0876		3.754
ybjX	b0877		5.635
na	b0878		4.096
macB	b0879		3.289
na	b0880		7.678
clpS	b0881		5.53
na	b0883		-22.7
na	b0884		8.278
aat	b0885		4.338
cydC	b0886		4.17
cydD	b0887		3.439
clpA	b0882		6.483
trxB	b0888		5.884
lrp	b0889		7.12
lolA	b0891		4.849
rarA	b0892		4.202
ftsK	b0890		4.77
dmsB	b0895		3.743
dmsC	b0896		3.723
dmsA	b0894		3.679
ycaD	b0898		3.908
ycaM	b0899		1.146
ycaK	b0901		2.046
ycaC	b0897		5.769
pflA	b0902		5.072
serS	b0893		6.306
ycaN	b0900		3.153
focA	b0904		5.733
ycaO	b0905		4.128
ycaP	b0906		3.868
pflB	b0903		7.81
ycaL	b0909		2.372
cmk	b0910		4.452
aroA	b0908		5.706
serC	b0907		7.291
ycaI	b0913		1.674
na	b0912		8.075
ycaQ	b0916		2.459
na	b0917		5.15
kdsB	b0918		5.313
ycbJ	b0919		4.283
na	b0920		2.926
msbA	b0914		4.678
lpxK	b0915		3.683
cmoM	b0921		4.705
mukF	b0922		3.986
ldtD	b0925		4.704
na	b0926		5.757
gloC	b0927		5.603
mukE	b0923		4.745
mukB	b0924		4.682
aspC	b0928		6.45
rpsA	b0911		7.845
asnS	b0930		6.283
na	b0939		-0.3728
na	b0933		2.253
na	b0934		0.1362
na	b0938		2.031
ssuD	b0935		1.034
na	b0936		0.8536
na	b0937		-4.03
pncB	b0931		6.067
elfC	b0940		1.35
elfG	b0941		2.386
pepN	b0932		4.559
ycbU	b0942		1.982
ycbV	b0943		1.777
ycbF	b0944		2.394
pyrD	b0945		4.947
zapC	b0946		4.284
ycbX	b0947		4.542
rlmL	b0948		4.011
pqiA	b0950		2.887
uup	b0949		4.254
na	b0951		3.626
pqiC	b0952		4.044
na	b0953		10.14
fabA	b0954		7.07
ycbZ	b0955		4.334
na	b0956		4.798
na	b0929		8.746
sulA	b0958		4.38
yccF	b0961		3.877
sxy	b0959		3.352
yccS	b0960		3.207
helD	b0962		4.248
yccT	b0964		3.078
yccU	b0965		5.294
mgsA	b0963		6.487
na	b0966		5.87
rlmI	b0967		4.275
na	b0968		4.242
tusE	b0969		4.526
na	b0971		-22.7
appB	b0979		2.717
appC	b0978		2.998
hyaA	b0972		0.412
hyaB	b0973		0.8556
na	b4592		-22.7
appA	b0980		3.285
yccA	b0970		6.265
hyaC	b0974		1.231
hyaD	b0975		1.906
na	b0976		0.9056
hyaF	b0977		1.577
na	b0981		2.763
