Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0051910	FBgn0051910	CG31910	2	1	4	1	3	5	7	1	16	2	11	5	0	0	1	4	3	9	12	1	0	4	10	9	1	0	2
FBgn0051913	FBgn0051913	CG31913	6	4	7	1	5	6	14	0	10	1	14	19	1	2	1	11	6	23	29	1	2	8	34	13	1	0	8
FBgn0051915	FBgn0051915	CG31915	4	2	7	7	9	8	9	6	5	2	6	8	13	11	13	10	3	7	7	12	11	8	5	19	14	8	7
FBgn0051922	FBgn0051922	CG31922	2	1	2	5	9	3	3	1	5	0	5	3	6	2	4	5	1	2	2	3	5	1	1	4	2	1	1
FBgn0051924	FBgn0051924	CG31924	0	0	1	0	1	1	1	0	1	0	1	3	0	0	1	1	0	3	3	0	0	4	11	6	0	0	2
FBgn0051926	FBgn0051926	CG31926	1	2	5	1	2	1	0	0	0	1	1	2	1	1	1	0	2	0	0	1	0	5	0	0	1	5	0
FBgn0051928	FBgn0051928	CG31928	1	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0
FBgn0051933	FBgn0051933	CG31933	0	1	1	2	3	2	2	0	2	2	3	2	1	1	3	2	1	3	3	2	1	5	1	2	0	0	0
FBgn0051935	FBgn0051935	CG31935	6	5	7	3	7	8	13	5	9	4	10	13	7	4	8	12	5	13	12	6	4	8	10	11	6	10	12
FBgn0051948	FBgn0051948	CG31948	8	7	22	5	24	22	37	4	37	2	65	44	5	5	8	18	6	58	71	9	3	19	95	62	3	1	15
FBgn0051949	FBgn0051949	CG31949	0	1	1	0	3	1	4	0	9	0	11	2	0	0	1	2	1	6	4	1	0	3	15	16	1	0	1
FBgn0051950	FBgn0051950	CG31950	9	6	23	25	25	21	26	10	14	11	21	27	18	17	13	18	10	25	25	22	25	6	15	21	7	7	6
FBgn0051952	FBgn0051952	CG31952	10	8	6	2	7	15	28	2	76	4	87	11	1	1	2	14	11	38	25	2	1	9	29	11	1	0	6
FBgn0051954	FBgn0051954	CG31954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	0
FBgn0051955	FBgn0051955	CG31955	1	2	3	4	10	4	6	1	4	1	5	4	8	4	5	4	0	1	3	7	2	3	2	8	2	3	1
FBgn0051956	FBgn0051956	pgant4	1	1	7	6	3	8	4	3	4	2	5	8	9	8	7	3	1	5	9	7	8	17	16	1	23	11	22
FBgn0051957	FBgn0051957	CG31957	3	3	7	5	6	8	13	1	18	2	17	9	4	5	3	16	3	11	9	5	4	5	5	11	4	8	5
FBgn0051960	FBgn0051960	CG31960	2	1	1	1	3	2	1	0	1	1	6	2	1	1	0	0	1	4	3	1	0	2	5	11	1	0	0
FBgn0051961	FBgn0051961	CG31961	10	7	15	6	10	21	38	2	31	2	17	29	10	6	8	31	10	23	19	7	4	7	5	7	4	9	8
FBgn0051973	FBgn0051973	Cda5	3	3	2	3	2	3	3	3	4	4	8	2	3	2	3	2	3	4	7	2	1	3	7	10	2	5	2
FBgn0051974	FBgn0051974	CG31974	3	2	11	12	4	13	5	5	9	2	13	8	40	18	34	16	3	14	27	20	30	32	33	4	60	31	50
FBgn0051975	FBgn0051975	CG31975	0	0	0	1	1	1	1	0	1	0	1	0	3	0	2	1	0	2	1	1	1	4	1	1	3	1	1
FBgn0051976	FBgn0051976	CG31976	0	0	0	1	1	1	1	0	1	0	1	0	3	0	2	1	0	2	1	1	1	4	1	1	3	1	1
FBgn0051988	FBgn0051988	CG31988	21	25	35	10	24	39	70	14	100	5	194	79	7	7	7	32	30	85	133	8	7	21	162	73	3	1	31
FBgn0051989	FBgn0051989	Cap-D3	2	1	2	0	2	2	6	1	2	0	2	5	2	1	2	5	1	4	5	1	1	6	4	4	2	6	5
FBgn0051992	FBgn0051992	gw	19	15	33	14	28	35	66	13	60	13	28	63	19	16	21	55	21	51	50	18	9	20	23	39	21	41	33
FBgn0051997	FBgn0051997	CG31997	9	6	62	179	339	83	22	24	26	26	50	15	217	108	137	27	13	40	28	209	63	4	20	77	31	13	6
FBgn0051999	FBgn0051999	CG31999	2	3	6	5	19	6	4	3	4	4	5	4	10	7	16	5	2	5	7	11	5	5	10	17	11	9	6
FBgn0052000	FBgn0052000	CG32000	2	2	10	10	27	12	16	3	20	3	14	10	18	9	19	13	4	12	11	22	7	9	17	29	26	28	12
