Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0000008	FBgn0000008	a	17	12	9	2	4	8	18	3	7	5	9	16	2	2	2	9	11	10	10	2	1	9	8	23	3	12	19
FBgn0000014	FBgn0000014	abd-A	11	11	4	7	9	6	3	14	3	19	5	2	4	6	6	2	11	4	4	4	3	3	2	5	1	1	2
FBgn0000015	FBgn0000015	Abd-B	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	3	1	1	1	0	1
FBgn0000017	FBgn0000017	Abl	8	6	6	1	1	8	14	2	14	3	6	13	1	1	1	12	8	9	11	1	1	4	3	6	1	4	8
FBgn0000018	FBgn0000018	abo	1	1	6	3	4	5	4	0	2	0	2	7	4	3	3	3	1	5	4	3	3	10	6	7	5	15	13
FBgn0000022	FBgn0000022	ac	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	7	0	0	0
FBgn0000024	FBgn0000024	Ace	9	7	4	2	3	6	9	2	18	4	21	5	5	3	5	7	8	8	9	4	2	5	7	5	2	4	7
FBgn0000028	FBgn0000028	acj6	5	5	1	0	1	2	4	2	7	3	8	2	1	0	1	3	5	4	4	1	1	2	1	0	0	0	0
FBgn0000032	FBgn0000032	Acph-1	12	10	18	12	21	15	19	11	10	5	9	23	12	10	15	18	11	18	17	18	12	9	13	27	17	28	12
FBgn0000036	FBgn0000036	nAChRalpha1	2	2	0	0	0	1	1	0	2	1	4	1	0	0	0	1	2	1	1	0	0	3	2	1	0	1	2
FBgn0000037	FBgn0000037	mAChR-A	7	6	1	1	1	3	5	1	8	2	11	2	1	0	0	3	5	4	4	0	0	7	3	2	0	1	4
FBgn0000038	FBgn0000038	nAChRbeta1	9	7	4	1	1	7	13	1	29	3	40	8	1	1	1	10	7	14	14	1	1	3	3	2	0	1	2
FBgn0000039	FBgn0000039	nAChRalpha2	5	6	0	1	1	1	1	1	1	3	1	1	0	1	1	1	3	1	3	0	0	7	5	5	1	2	4
FBgn0000042	FBgn0000042	Act5C	2621	2514	1257	1316	1418	1640	1912	2401	3278	3167	2458	1042	1296	1586	784	1431	2680	1238	1213	1515	1282	397	526	1491	1892	748	1128
FBgn0000043	FBgn0000043	Act42A	211	205	186	265	449	178	105	223	58	196	70	185	230	296	159	87	139	103	153	371	351	64	115	663	476	145	130
FBgn0000044	FBgn0000044	Act57B	407	325	4671	7920	5086	5878	154	5899	168	5130	525	334	9120	11287	12168	191	684	400	533	8990	12552	228	832	110	3388	702	393
FBgn0000045	FBgn0000045	Act79B	323	154	279	1	1	72	129	1	62	8	163	469	1	3	1	74	145	309	399	1	2	55	2698	71	0	1309	88
FBgn0000046	FBgn0000046	Act87E	900	569	920	1194	913	1035	391	5400	1029	5742	1760	264	1082	1357	989	336	1330	566	462	924	930	78	473	99	338	265	150
FBgn0000047	FBgn0000047	Act88F	98	46	96	1	0	9	20	1	16	1	74	125	0	1	0	30	47	61	90	1	0	115	5046	296	0	3277	317
FBgn0000052	FBgn0000052	ade2	13	8	16	12	8	51	50	3	26	4	20	73	15	12	15	86	12	18	25	11	11	33	89	28	26	55	99
FBgn0000053	FBgn0000053	ade3	13	13	13	9	19	18	18	4	6	6	5	29	8	9	21	19	10	6	20	10	8	14	78	36	39	54	32
FBgn0000055	FBgn0000055	Adh	284	212	698	1084	487	562	225	394	131	290	270	481	1134	1150	659	397	257	471	533	604	882	292	2613	37	1707	1256	746
FBgn0000056	FBgn0000056	Adhr	302	226	743	1155	518	598	239	420	140	309	286	512	1208	1224	702	422	274	501	567	643	940	310	2780	39	1818	1336	795
FBgn0000057	FBgn0000057	adp	10	6	13	10	9	12	17	6	9	11	9	22	9	10	10	15	9	18	21	9	11	16	25	26	13	18	22
FBgn0000061	FBgn0000061	al	1	1	2	5	4	2	0	4	0	4	0	0	3	2	4	0	1	0	1	3	4	3	0	2	1	0	0
FBgn0000063	FBgn0000063	Mps1	11	6	15	2	4	18	39	3	21	2	7	33	3	3	2	35	10	30	20	2	2	5	1	2	1	4	4
FBgn0000064	FBgn0000064	Ald	131	94	493	657	436	467	199	544	435	382	413	319	502	775	616	227	136	324	507	619	947	130	652	50	317	434	330
FBgn0000075	FBgn0000075	amd	0	1	2	2	1	1	1	0	0	1	1	2	1	1	1	0	0	0	1	1	1	6	3	19	6	7	1
FBgn0000077	FBgn0000077	amx	9	8	9	6	5	5	10	5	6	3	6	15	3	5	4	9	8	8	12	3	3	16	13	13	9	21	22
FBgn0000078	FBgn0000078	Amy-d	72	66	58	49	15	14	5	25	7	44	81	51	35	21	184	124	68	103	358	40	52	77	142	1	10	128	184
FBgn0000079	FBgn0000079	Amy-p	206	155	87	87	18	37	17	44	17	93	196	92	79	79	374	497	183	231	989	96	164	185	491	1	42	335	414
FBgn0000083	FBgn0000083	AnxB9	38	29	90	171	144	90	86	64	34	51	51	118	147	139	107	40	23	47	118	151	152	138	268	229	256	266	393
FBgn0000084	FBgn0000084	AnxB10	20	13	21	19	20	21	29	20	17	15	15	40	16	18	18	19	13	26	35	20	24	57	110	55	56	100	130
FBgn0000092	FBgn0000092	CG2650	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	4	19	10	0	34	4
FBgn0000097	FBgn0000097	aop	14	11	12	3	9	15	25	3	22	7	13	23	5	4	5	20	12	17	16	5	3	6	4	15	3	6	8
FBgn0000100	FBgn0000100	RpLP0	364	286	835	1056	766	547	312	442	94	363	215	660	901	914	833	370	237	462	740	1064	1285	475	594	971	1350	1364	1274
FBgn0000108	FBgn0000108	Appl	41	40	7	3	4	10	16	11	27	14	43	11	5	4	5	12	39	20	23	3	2	8	15	13	2	9	16
FBgn0000109	FBgn0000109	Aprt	6	2	15	15	16	14	12	8	16	7	10	13	16	13	12	14	4	15	11	16	12	5	4	5	8	6	3
FBgn0000114	FBgn0000114	aret	39	27	50	2	4	43	94	2	64	5	43	103	2	3	3	77	39	80	73	2	2	26	23	17	3	97	69
FBgn0000115	FBgn0000115	Arl1	38	21	65	116	70	68	49	39	31	40	29	64	65	82	48	56	35	57	63	76	87	29	50	88	72	51	52
FBgn0000116	FBgn0000116	Argk	104	80	777	1323	693	730	92	824	94	512	138	175	884	1214	840	90	135	196	200	936	1191	190	1582	759	2357	922	518
FBgn0000117	FBgn0000117	arm	83	70	79	68	52	75	99	50	57	43	51	139	53	55	46	94	60	96	120	56	50	41	59	197	69	85	120
FBgn0000119	FBgn0000119	arr	5	4	8	5	5	6	6	6	3	4	3	9	4	5	5	5	3	5	7	4	4	12	13	24	11	12	15
FBgn0000120	FBgn0000120	Arr1	56	39	48	2	1	35	83	1	52	5	89	105	1	2	1	71	36	111	147	1	2	264	322	2	2	202	490
FBgn0000121	FBgn0000121	Arr2	124	105	124	1	0	98	191	3	116	6	190	293	0	3	0	173	82	288	370	1	0	550	851	4	0	507	1015
FBgn0000137	FBgn0000137	ase	1	0	0	1	1	0	0	1	2	1	0	0	1	1	1	0	0	0	0	1	1	2	0	1	0	0	0
FBgn0000139	FBgn0000139	ash2	5	4	8	4	5	10	13	3	5	2	5	19	7	5	9	13	5	13	16	6	6	9	7	11	8	13	14
FBgn0000140	FBgn0000140	asp	8	6	18	2	2	20	43	1	16	1	6	48	2	2	2	33	12	28	27	1	1	8	3	6	2	17	13
FBgn0000150	FBgn0000150	awd	372	299	977	1244	892	753	620	572	153	436	189	1057	919	997	712	779	308	691	731	1103	1512	234	679	654	709	1118	627
FBgn0000152	FBgn0000152	Axs	2	1	6	6	11	7	7	2	3	2	2	9	9	6	10	7	1	5	7	7	5	8	11	10	15	13	13
FBgn0000153	FBgn0000153	b	5	3	4	1	21	1	4	5	2	3	10	5	0	1	1	2	4	8	14	2	1	28	113	42	7	76	53
FBgn0000157	FBgn0000157	Dll	1	1	1	1	4	1	1	3	2	3	2	1	2	1	2	1	1	2	1	2	1	3	2	5	0	1	3
FBgn0000158	FBgn0000158	bam	4	2	5	1	0	8	21	0	10	0	3	21	0	0	0	13	5	11	10	0	0	7	1	1	1	9	6
FBgn0000163	FBgn0000163	baz	2	2	3	1	1	2	4	1	2	1	2	6	1	1	1	3	2	4	5	1	1	7	11	8	5	9	20
FBgn0000166	FBgn0000166	bcd	12	7	14	0	0	15	36	0	14	0	2	40	0	0	0	33	13	24	20	0	0	9	0	0	0	14	16
FBgn0000173	FBgn0000173	ben	73	54	82	89	151	69	74	63	64	53	47	96	87	78	81	75	48	68	75	92	74	22	29	87	52	55	43
FBgn0000179	FBgn0000179	bi	12	11	1	2	2	2	1	8	1	9	4	1	2	2	2	1	10	1	1	1	1	3	1	3	0	0	1
FBgn0000180	FBgn0000180	bib	6	6	2	2	4	2	1	2	1	3	1	1	1	1	1	0	4	1	2	2	1	5	2	12	1	1	4
FBgn0000181	FBgn0000181	bic	253	215	441	434	388	423	537	293	251	250	255	573	391	375	339	587	206	502	487	424	550	126	126	292	345	309	297
FBgn0000182	FBgn0000182	BicC	66	40	151	1	1	131	380	1	182	0	50	414	0	2	1	368	92	269	215	1	1	24	16	5	0	111	92
FBgn0000183	FBgn0000183	BicD	32	28	20	8	9	23	40	16	26	13	18	37	8	8	6	35	23	32	27	12	7	13	13	19	21	30	22
FBgn0000206	FBgn0000206	boss	3	2	2	0	0	1	3	0	3	0	4	5	0	0	0	3	2	6	6	0	0	9	12	2	0	6	6
FBgn0000212	FBgn0000212	brm	35	21	23	9	8	28	47	16	29	18	16	53	8	8	9	41	26	33	35	7	7	9	5	9	5	8	12
FBgn0000221	FBgn0000221	brn	2	4	4	3	3	3	4	2	5	3	4	7	3	3	4	8	2	6	6	2	4	6	7	9	6	9	11
FBgn0000227	FBgn0000227	Bsg25A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
FBgn0000228	FBgn0000228	Bsg25D	17	10	17	4	4	17	31	6	17	3	16	31	5	5	5	23	12	21	22	4	5	14	13	12	11	21	25
FBgn0000229	FBgn0000229	bsk	7	7	13	11	26	11	8	4	7	6	15	9	20	12	13	7	5	14	15	20	8	6	12	24	16	11	5
FBgn0000233	FBgn0000233	btd	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	0	1
FBgn0000239	FBgn0000239	bur	22	22	47	25	31	48	65	11	44	15	25	82	23	22	20	59	25	61	62	26	16	28	26	26	18	51	53
FBgn0000244	FBgn0000244	by	3	3	11	10	6	11	10	11	8	6	10	11	16	11	13	10	4	12	17	9	10	20	28	8	26	23	43
FBgn0000246	FBgn0000246	c(3)G	5	2	7	1	2	10	28	0	39	1	11	11	1	1	1	21	9	14	10	1	0	2	0	1	0	4	2
FBgn0000247	FBgn0000247	ca	9	5	8	5	3	10	16	3	10	3	9	18	4	4	5	15	8	13	16	3	4	12	14	8	5	12	25
FBgn0000250	FBgn0000250	cact	59	37	60	17	26	66	112	28	64	22	47	112	26	30	26	106	50	83	84	22	29	47	60	46	41	93	114
FBgn0000251	FBgn0000251	cad	79	52	66	12	12	89	160	31	107	20	66	114	15	14	15	137	93	115	81	15	13	15	8	4	8	30	35
FBgn0000253	FBgn0000253	Cam	173	136	128	85	146	193	314	129	713	152	537	129	152	111	98	281	192	220	139	128	85	12	20	32	33	29	19
FBgn0000256	FBgn0000256	capu	6	5	7	4	3	8	11	4	6	2	12	14	5	4	5	9	5	14	19	4	4	8	17	8	4	6	12
FBgn0000257	FBgn0000257	car	4	4	7	5	2	6	9	3	2	3	3	13	3	4	3	8	3	6	9	4	3	11	12	13	13	20	26
FBgn0000259	FBgn0000259	CkIIbeta	81	64	50	23	53	63	89	58	157	81	112	49	35	30	31	95	85	83	42	37	20	5	5	16	8	11	9
FBgn0000261	FBgn0000261	Cat	77	65	238	470	300	244	101	143	74	127	122	138	406	308	934	148	71	150	373	526	533	169	260	500	298	191	342
FBgn0000273	FBgn0000273	Pka-C1	25	22	31	24	33	39	41	26	75	36	49	27	28	31	32	39	29	34	31	27	16	12	23	18	20	21	25
FBgn0000274	FBgn0000274	Pka-C2	2	2	4	1	2	3	6	0	3	2	9	7	1	1	1	4	2	12	13	1	1	7	17	9	1	1	3
FBgn0000283	FBgn0000283	Cp190	68	53	66	18	24	90	169	31	154	37	66	127	22	21	21	150	73	115	81	17	12	20	11	23	16	33	37
FBgn0000286	FBgn0000286	Cf2	27	17	18	9	7	20	38	15	25	13	21	32	10	9	11	33	22	25	28	7	11	6	5	3	1	5	14
FBgn0000287	FBgn0000287	salr	2	2	1	1	1	2	2	2	2	2	3	2	1	1	1	1	2	2	4	1	1	5	3	4	1	1	3
FBgn0000289	FBgn0000289	cg	26	21	24	9	17	30	46	15	57	17	32	44	9	9	12	46	28	42	32	10	6	21	18	28	9	36	56
FBgn0000299	FBgn0000299	Cg25C	37	32	96	109	22	105	17	199	35	128	69	22	110	124	73	28	46	49	58	88	247	9	46	16	79	33	19
FBgn0000303	FBgn0000303	ChAT	2	2	1	0	0	1	1	0	2	0	2	2	1	1	1	1	1	3	4	1	1	6	8	1	1	4	4
FBgn0000307	FBgn0000307	chif	19	13	16	4	7	23	53	6	51	4	19	32	6	5	7	40	20	31	22	5	3	7	3	6	3	8	7
FBgn0000308	FBgn0000308	chic	163	144	188	231	466	250	274	325	558	281	385	123	270	228	227	224	228	159	128	271	198	33	46	212	125	59	68
FBgn0000316	FBgn0000316	cin	5	2	12	8	15	13	23	4	17	2	9	22	11	8	9	19	5	19	16	14	6	8	7	18	16	24	10
FBgn0000317	FBgn0000317	ck	2	2	9	3	3	7	14	2	8	1	4	16	3	3	3	9	3	9	10	3	3	10	11	16	10	17	14
FBgn0000318	FBgn0000318	cl	83	71	113	171	132	110	113	170	89	100	72	102	141	125	116	106	78	93	111	132	175	89	133	193	208	140	121
FBgn0000319	FBgn0000319	Chc	39	35	76	48	80	64	56	26	45	25	42	94	65	59	66	54	29	62	92	61	42	57	107	202	142	143	152
FBgn0000320	FBgn0000320	eya	5	4	3	3	2	2	3	4	1	4	3	4	2	3	2	2	4	5	6	2	2	7	7	10	2	7	10
FBgn0000326	FBgn0000326	clt	3	2	9	12	12	8	5	2	5	2	3	8	17	10	14	7	2	6	10	11	13	7	6	5	16	6	4
FBgn0000330	FBgn0000330	cm	4	4	7	6	9	6	7	1	3	1	5	13	5	7	3	5	2	9	11	8	8	11	12	30	15	19	22
FBgn0000339	FBgn0000339	cni	6	5	13	26	57	16	16	3	10	6	12	17	41	17	29	17	5	17	22	40	16	17	28	53	58	30	26
FBgn0000346	FBgn0000346	comt	3	3	4	1	2	4	5	2	4	2	6	10	1	2	1	4	3	8	14	2	2	12	32	8	3	21	18
FBgn0000351	FBgn0000351	cort	4	6	10	1	1	8	23	0	6	0	3	30	0	1	0	17	4	18	16	1	0	8	1	2	1	19	10
FBgn0000352	FBgn0000352	cos	9	8	11	5	4	10	21	3	9	3	5	23	3	4	4	17	8	16	17	4	3	9	5	12	4	11	11
FBgn0000355	FBgn0000355	Cp15	484	384	814	0	0	4	1	4	41	2	50	783	1	0	0	0	266	47	20	1	0	8	4	1	0	2483	73
FBgn0000356	FBgn0000356	Cp16	100	104	235	0	0	1	0	2	3	7	6	122	0	0	0	0	60	1	0	0	0	7	0	0	0	247	0
FBgn0000357	FBgn0000357	Cp18	205	162	462	0	0	1	1	1	12	1	22	290	0	0	0	1	108	2	2	1	0	6	1	1	0	540	2
FBgn0000358	FBgn0000358	Cp19	356	369	629	0	0	1	1	7	14	6	32	360	0	0	0	0	271	10	1	0	0	7	0	0	0	527	1
FBgn0000359	FBgn0000359	Cp36	273	262	563	1	0	2	2	2	10	1	40	538	0	1	0	0	193	109	0	1	1	38	0	2	0	1633	59
FBgn0000360	FBgn0000360	Cp38	771	524	796	0	0	3	4	6	40	5	125	696	0	1	0	0	547	180	0	1	1	38	0	0	0	1369	47
FBgn0000370	FBgn0000370	crc	47	39	112	163	222	114	90	66	100	65	119	83	214	141	208	102	44	122	132	195	109	81	130	224	166	138	152
FBgn0000376	FBgn0000376	crm	14	8	18	2	2	23	53	2	24	2	12	43	3	2	3	45	14	33	30	2	2	8	2	4	2	8	16
FBgn0000377	FBgn0000377	crn	10	8	11	8	5	14	16	11	6	7	6	20	8	8	8	15	9	13	22	7	11	12	8	16	15	16	17
FBgn0000382	FBgn0000382	csw	42	29	16	5	6	27	61	10	78	13	49	34	5	5	5	59	38	42	36	4	4	13	14	12	4	17	32
FBgn0000384	FBgn0000384	cta	2	3	6	3	9	8	17	6	22	1	5	12	6	4	4	19	4	12	7	6	2	6	6	15	9	17	8
FBgn0000392	FBgn0000392	cup	49	35	61	8	9	62	120	5	78	7	44	139	10	8	6	103	48	98	84	8	7	15	14	11	4	34	25
FBgn0000394	FBgn0000394	cv	7	5	12	11	12	14	18	8	18	10	10	24	14	12	11	16	5	14	22	12	15	15	24	32	14	23	22
FBgn0000395	FBgn0000395	cv-2	3	2	3	2	5	6	19	2	8	2	7	10	3	3	4	5	2	4	10	4	3	9	7	14	5	6	16
FBgn0000404	FBgn0000404	CycA	160	99	139	12	19	146	339	17	342	13	96	309	11	11	9	313	157	257	178	12	7	49	7	31	11	215	98
FBgn0000405	FBgn0000405	CycB	168	106	338	12	21	295	748	9	370	6	115	824	9	15	8	628	180	541	469	12	9	73	11	30	5	285	250
FBgn0000406	FBgn0000406	Cyt-b5-r	10	11	127	96	25	178	37	20	23	18	78	59	420	301	194	102	16	71	54	153	207	225	318	8	476	239	470
FBgn0000412	FBgn0000412	D1	129	101	117	87	102	114	182	82	209	80	93	150	60	65	51	163	105	136	107	69	64	24	21	91	38	51	41
FBgn0000414	FBgn0000414	Dab	9	8	8	2	2	13	26	2	17	2	11	22	3	2	4	24	10	18	17	2	2	9	7	6	2	6	14
FBgn0000416	FBgn0000416	Sap-r	312	311	246	214	478	217	175	137	176	169	215	279	279	227	499	233	185	229	350	291	155	227	456	476	370	430	519
FBgn0000422	FBgn0000422	Ddc	18	16	5	20	138	4	6	10	8	14	11	7	17	18	9	7	8	10	10	27	7	16	33	33	52	21	25
FBgn0000439	FBgn0000439	Dfd	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	7	3	2	1	2	4
FBgn0000442	FBgn0000442	Pkg21D	2	1	4	4	3	3	1	3	1	3	3	2	4	5	5	2	1	3	4	5	6	8	5	1	6	4	7
FBgn0000447	FBgn0000447	Dhod	8	8	25	22	20	24	24	9	14	6	17	34	19	16	20	23	7	33	39	24	21	22	48	39	34	32	32
FBgn0000448	FBgn0000448	Hr46	8	10	1	0	4	1	2	0	4	3	6	1	0	0	0	2	6	2	2	0	0	2	1	7	0	1	2
FBgn0000449	FBgn0000449	dib	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0
FBgn0000451	FBgn0000451	ect	11	10	2	2	3	8	12	6	5	8	11	7	4	3	4	10	9	8	18	2	3	5	3	87	10	2	2
FBgn0000454	FBgn0000454	Dip-B	40	17	68	110	73	79	67	61	15	29	21	94	93	81	91	80	31	63	95	116	140	58	95	397	232	177	116
FBgn0000455	FBgn0000455	Dip-C	17	16	28	74	49	27	9	31	6	26	8	18	37	40	51	12	12	15	21	57	53	29	75	114	125	70	62
FBgn0000459	FBgn0000459	disco	3	3	1	1	2	2	2	6	1	3	3	1	1	1	2	3	2	2	2	1	1	3	1	2	0	1	2
FBgn0000463	FBgn0000463	Dl	6	4	12	3	6	20	50	1	85	3	18	24	3	3	5	40	14	30	16	3	2	7	3	14	2	10	9
FBgn0000464	FBgn0000464	Lar	7	6	5	2	2	4	8	1	5	2	7	11	2	1	2	6	4	7	10	1	1	8	8	11	3	6	11
FBgn0000473	FBgn0000473	Cyp6a2	1	2	10	12	4	18	11	3	7	3	10	15	105	14	558	587	22	36	23	7	18	40	55	2	54	35	62
FBgn0000477	FBgn0000477	DNaseII	16	16	32	72	47	30	5	46	8	33	11	9	69	54	58	11	16	14	15	66	73	27	85	189	117	49	45
FBgn0000482	FBgn0000482	dor	7	6	7	7	4	6	9	6	3	5	3	14	5	5	6	6	5	9	12	5	4	9	8	11	8	10	18
FBgn0000489	FBgn0000489	Pka-C3	35	27	22	8	25	30	39	24	38	26	69	29	22	15	17	36	28	51	48	16	10	17	18	21	9	14	29
FBgn0000490	FBgn0000490	dpp	2	1	2	2	2	4	5	0	10	2	10	3	3	2	3	4	2	5	5	3	2	8	5	7	3	4	9
FBgn0000492	FBgn0000492	Dr	7	5	2	3	2	3	3	7	1	5	2	2	3	3	2	2	3	2	3	3	3	7	3	6	1	2	6
FBgn0000499	FBgn0000499	dsh	16	11	15	6	6	14	25	11	16	6	12	32	4	6	4	23	13	22	23	5	6	13	15	18	8	17	31
FBgn0000500	FBgn0000500	Dsk	1	0	1	0	1	0	1	0	0	0	4	1	1	1	0	1	0	2	3	0	0	6	6	2	1	2	4
FBgn0000504	FBgn0000504	dsx	3	2	3	1	2	2	2	2	3	2	4	3	1	1	1	2	2	5	5	1	0	6	5	3	0	4	9
FBgn0000520	FBgn0000520	dwg	12	8	10	5	2	10	18	8	6	3	7	22	3	3	3	14	7	16	16	3	5	12	9	13	8	20	23
FBgn0000524	FBgn0000524	dx	20	13	19	5	6	23	43	8	26	7	12	41	5	4	5	38	23	31	25	5	3	11	4	15	3	15	22
FBgn0000527	FBgn0000527	e	12	13	1	0	52	1	2	6	3	7	4	1	1	1	1	2	6	2	3	1	1	9	32	63	7	21	9
FBgn0000529	FBgn0000529	bsh	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	1	0	0	1
FBgn0000533	FBgn0000533	ea	4	2	12	10	5	11	12	6	3	5	3	20	7	7	10	12	3	12	15	8	8	16	13	13	19	23	35
FBgn0000535	FBgn0000535	eag	1	1	1	0	0	1	2	0	3	0	5	1	0	0	0	1	1	2	2	0	0	2	1	0	0	0	1
FBgn0000536	FBgn0000536	eas	6	4	7	4	10	7	11	4	9	2	13	13	5	4	8	12	6	14	17	6	4	10	20	17	13	21	16
FBgn0000541	FBgn0000541	E(bx)	15	12	27	5	10	34	71	4	60	7	22	57	7	6	8	54	20	46	36	6	3	10	7	16	7	17	14
FBgn0000542	FBgn0000542	ec	4	4	2	3	3	2	1	8	1	5	2	1	2	2	2	1	3	1	2	2	1	4	4	20	3	3	4
FBgn0000543	FBgn0000543	ecd	11	8	14	8	8	14	16	8	7	5	7	26	6	8	7	18	9	17	21	6	9	16	14	28	8	19	23
FBgn0000546	FBgn0000546	EcR	12	10	7	7	9	9	11	12	11	14	7	9	5	5	8	10	9	9	7	6	4	7	5	20	6	7	13
FBgn0000547	FBgn0000547	ed	13	10	16	6	9	19	32	7	26	6	11	33	6	6	8	29	12	24	23	5	3	10	15	59	6	16	19
FBgn0000551	FBgn0000551	Edg78E	0	0	1	4	2	1	0	6	0	2	0	0	1	2	1	0	1	0	1	1	3	5	1	1197	4	0	1
FBgn0000552	FBgn0000552	Edg84A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	323	0	0	0
FBgn0000557	FBgn0000557	Ef1alpha100E	111	104	34	11	23	34	64	14	110	35	184	48	13	15	16	57	98	70	78	12	7	68	114	260	9	87	172
FBgn0000559	FBgn0000559	EF2	483	403	1293	975	865	1162	916	490	431	408	484	1513	1103	1101	1231	872	400	968	1492	998	1048	1114	1642	1473	2852	2426	2698
FBgn0000560	FBgn0000560	eg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	1
FBgn0000562	FBgn0000562	egl	15	14	25	19	14	31	46	15	26	12	21	47	23	15	23	47	19	36	45	18	13	22	24	20	25	32	50
FBgn0000565	FBgn0000565	Eip71CD	37	32	45	201	220	36	39	53	13	35	19	32	97	80	102	22	25	17	27	106	56	29	63	95	49	42	68
FBgn0000566	FBgn0000566	Eip55E	17	9	50	62	55	40	25	16	10	22	10	48	43	47	71	33	17	25	45	71	63	44	52	42	136	79	88
FBgn0000567	FBgn0000567	Eip74EF	22	21	6	8	16	6	5	15	6	18	7	3	3	7	8	3	14	2	4	5	4	5	3	11	3	3	5
FBgn0000575	FBgn0000575	emc	52	41	30	33	75	34	53	37	53	39	53	33	31	29	35	34	34	32	35	37	31	14	13	52	11	21	27
FBgn0000576	FBgn0000576	ems	2	2	1	2	3	2	1	8	1	5	2	0	1	1	2	0	2	1	1	2	1	3	0	2	0	0	0
FBgn0000577	FBgn0000577	en	1	1	2	2	2	1	0	2	0	2	1	1	1	2	1	0	1	0	1	1	1	4	1	4	1	0	1
FBgn0000578	FBgn0000578	ena	16	12	12	5	11	16	29	9	42	10	19	19	6	4	6	26	18	19	14	4	3	6	6	17	4	8	9
FBgn0000579	FBgn0000579	Eno	115	75	431	604	383	365	216	374	91	234	121	370	498	607	485	212	100	277	374	514	737	119	615	118	535	560	353
FBgn0000581	FBgn0000581	E(Pc)	18	13	16	3	2	21	44	6	32	5	15	42	2	3	3	31	19	27	27	2	2	11	7	11	5	12	21
FBgn0000588	FBgn0000588	esc	8	4	12	3	2	11	19	2	6	1	3	31	2	3	1	20	7	18	15	2	4	12	3	5	3	18	18
FBgn0000591	FBgn0000591	E(spl)m8-HLH	2	1	1	4	7	1	1	3	0	4	1	0	2	3	3	0	1	0	0	4	1	5	0	3	1	0	0
FBgn0000592	FBgn0000592	Est-6	15	19	48	6	2	6	8	0	10	1	43	63	9	6	9	16	14	64	38	7	4	28	227	4	20	65	46
FBgn0000594	FBgn0000594	Est-P	1	1	1	6	45	1	0	0	0	1	0	0	5	3	8	0	1	0	0	7	1	4	1	1	7	0	0
FBgn0000606	FBgn0000606	eve	1	1	1	0	0	1	2	1	0	0	1	1	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0
FBgn0000611	FBgn0000611	exd	13	12	24	18	29	22	24	10	18	6	13	30	20	17	18	28	12	27	23	20	14	21	34	74	42	55	40
FBgn0000615	FBgn0000615	exu	31	26	63	9	26	72	131	8	109	11	123	152	13	10	13	90	37	121	106	14	12	42	104	44	14	114	80
FBgn0000617	FBgn0000617	e(y)1	20	11	16	12	8	16	20	21	4	14	6	26	7	14	8	22	12	16	22	10	12	7	3	9	6	7	7
FBgn0000618	FBgn0000618	e(y)2	16	13	24	26	30	27	26	25	15	23	3	32	27	23	20	28	8	28	30	27	34	7	7	27	11	15	8
FBgn0000625	FBgn0000625	eyg	6	4	1	1	1	1	1	2	0	6	2	1	1	1	2	1	4	0	1	1	1	3	2	3	1	1	3
FBgn0000629	FBgn0000629	E(z)	10	6	14	9	9	15	26	5	18	5	9	28	8	7	8	25	13	21	20	8	6	11	8	13	9	19	15
