gene_id,NEUTRAL,SELECTED,locus,fpkm_geomean
glpQ,Inf,0.01824070660387514,b2239,3.837
galR,0.0284828828164965,0.03071789005677664,b2837,3.926
clcB,0.02838615249545369,0.03602448137331846,b1592,1.76
ulaD,0.07872527532724458,0.06523664303006502,b4196,2.66
mnmE,Inf,0.0184012364204659,b3706,4.454
dnaE,0.01269251298406889,0.00647626431273821,b0184,4.194
maeB,0.01772513904643049,0.01109931926517896,b2463,4.347
tdcA,0.02794736087503729,0.01935634458315605,b3118,1.233
hflX,0.02641160619635709,0.01971949354858503,b4173,5.708
brnQ,0.03611635652957491,0.03536884603620442,b0401,3.961
rnhB,Inf,0.04494878678320238,b0183,3.957
nuoJ,Inf,0.05892088610218345,b2280,4.627
cho,0.0370670607470162,0.02754072373395241,b1741,2.974
kdgT,0.08727729252011211,0.02759781888730433,b3909,1.981
fumC,0.02576095425998796,0.01744965786823978,b1611,3.086
otsB,Inf,0.02645751275919696,b1897,4.882
recG,0.0228441444668313,0.01270926740228569,b3652,3.617
pxpB,0.03863973756511671,0.0359700799831808,b0711,5.306
rpsN,Inf,0.1760660306053975,b3307,8.425
rne,0.01836271470002894,0.01005980473288024,b1084,5.455
yegS,0.03321880038005971,0.02935749836146861,b2086,4.377
ligB,0.02915833604409756,0.01418991420957258,b3647,1.347
ubiG,0.04211573595353965,0.02721811358375347,b2232,4.809
dusB,0.02864615251573462,0.01933909213202673,b3260,6.076
rlmG,0.03389355375351242,0.01850547252693807,b3084,2.968
def,0.03220737375499281,0.0422954951699398,b3287,6.25
dinG,0.01678749258177265,0.01117155461642855,b0799,2.502
cycA,0.03607552903915494,0.01544800493268314,b4208,4.833
nudK,0.02853469698799369,0.04698250048728518,b2467,4.473
citF,0.02452579428265,0.02414397629008059,b0615,-0.6999
napC,0.03724678031604438,0.03132342078273751,b2202,3.672
purF,0.0207923010937319,0.01969515058124616,b2312,5.33
glpB,0.02041396752789901,0.02073047386260355,b2242,0.4144
pyrB,Inf,0.02964047170651142,b4245,7.217
cof,0.03862771370733583,0.02927908134026478,b0446,3.1
kdpB,0.0233595948444794,0.01336260811788286,b0697,1.228
ldcA,0.02998876880695062,0.02584561966431746,b1192,3.902
pdxJ,0.1504402961326981,0.04759022444532915,b2564,5.273
artJ,0.04781305940854018,0.04038010623082604,b0860,6.657
cysM,0.04424107079277967,0.02383258186618359,b2421,5.021
speB,0.03359925869126852,0.02756174481728579,b2937,4.315
qseG,0.04422760716348634,0.02526059861331555,b2555,3.799
ygfZ,0.04389829045031607,0.02204599695353403,b2898,5.872
gudD,0.02773650389589848,0.02035443973240133,b2787,2.466
asnS,0.04094889152455611,0.01880120675903484,b0930,6.283
ilvA,0.02763317620457143,0.01804151255793384,b3772,4.252
bglJ,0.04306344622020084,0.02584272156899748,b4366,1.033
argC,0.02859486660941682,0.02939520493289787,b3958,5.333
agaV,Inf,0.04350652571634715,b3133,1.748
astB,0.02316029138115044,0.02161756442414856,b1745,1.81
metH,0.01179950473522406,0.00740427201520553,b4019,5.164
phoQ,0.02009186778745531,0.01443630068936264,b1129,4.47
rodZ,0.07333003817576238,0.02377887150692449,b2516,5.27
flgH,Inf,0.03827258950386183,b1079,1.074
nlpE,0.08029837813991345,0.0257053574298379,b0192,4.08
fbaA,0.04922058481757108,0.03832845891971527,b2925,7.652
gntK,Inf,0.04779207365056635,b3437,2.473
setB,0.0387104138031921,0.02339886604186791,b2170,1.127
miaA,0.06994557615083798,0.02334369761404483,b4171,6.277
gapA,0.07648828345433722,0.04236926396408391,b1779,9.418
pcnB,0.02905852274861204,0.01442367072329734,b0143,5.373
srmB,0.0743005460831138,0.01512181827997351,b2576,4.633
nrdB,0.02394198807979751,0.02756161588587011,b2235,5.378
paaX,0.03784959448486181,0.02235449412109422,b1399,3.836
rof,0.07370181405895694,Inf,NA,NA
lepB,0.03016682965271184,0.02007428500246924,b2568,5.296
grxC,0.10991071428571428,0.06353351757369614,NA,NA
bioH,0.05647430226962199,0.02605482576806662,b3412,3.579
purH,0.02701530692007123,0.01848407796977573,b4006,5.043
zwf,0.02171946098843462,0.01606429905123644,b1852,6.068
yfcE,Inf,0.0462816387786007,b2300,5.184
rbsK,Inf,0.02753948499345877,b3752,4.183
menC,0.02713245587246586,0.03162714377667545,b2261,4.305
leuS,0.01722026546263167,0.0108815513540777,b0642,5.757
argE,0.0246695639019616,0.02192347207927754,b3957,5.295
ispG,0.03081463057624005,0.02861719989534715,b2515,5.61
glgX,0.01594634465755969,0.01317385402584127,b3431,5.55
gutQ,0.02533004759103094,0.03511126747093672,b2708,3.816
rhtA,0.12319642252654532,0.02358600803953692,b0813,2.338
arnC,0.02693181772903437,0.02204821407786119,b2254,2.655
iclR,0.04533624121237445,0.0265041776704067,b4018,4.553
hycC,0.02584887460849525,0.02079555277451004,b2723,-0.1568
kdsD,Inf,0.02293794672531136,b3197,4.706
accB,Inf,0.07670434651133182,b3255,6.472
lsrB,0.06394354588672656,0.0211303302159803,b1516,2.072
cmk,Inf,0.03197754805110438,b0910,4.452
argS,0.02044913321835221,0.01597443766348014,b1876,4.945
viaA,0.02514039368972701,0.018306087095219,b3745,3.752
topA,0.01714672496175853,0.00864684596236524,b1274,5.192
fabH,0.03662169555330744,0.02464574447917224,b1091,5.473
bcsE,0.02084799443025306,0.01685016860197491,b3536,5.142
rppH,Inf,0.03964602376108114,b2830,6.289
iaaA,0.04075595521265746,0.02779610684979311,b0828,5.833
phoH,0.02866355139972666,0.01561472891135144,b1020,4.227
dam,0.03009303104113511,0.01851076626639329,b3387,4.477
uraA,0.03289547523030652,0.02232573458023271,b2497,4.856
ampD,0.04652409812369283,0.03050440965390599,b0110,4.258
grcA,Inf,0.06726127638194737,b2579,7.926
malQ,0.0172730066826164,0.01199329805733879,b3416,4.192
pncC,Inf,0.04596693808629149,b2700,4.102
alaC,0.03040278457417368,0.01938060695421059,b2379,4.233
ptrA,Inf,0.00779421167281107,b2821,3.424
citC,0.02683688038279614,0.0183559025821045,b0618,-8.066
galE,0.02568008384981063,0.02680170502033814,b0759,4.433
dppD,0.03177590012104583,0.02850643052680546,b3541,4.495
mukF,Inf,0.02054407268216514,b0922,3.986
argR,Inf,0.04375287881954519,b3237,6.289
araD,0.08334765455003551,0.03123823594078839,b0061,0.7902
srlA,Inf,0.0338857938634867,b2702,0.9133
yeaG,0.01832663820636023,0.00976036617453886,b1783,5.657
aat,0.03854199164316153,0.02652705105567162,b0885,4.338
smpB,0.10062626839749028,0.05467519276426055,b2620,5.391
sbcB,0.02159984318825028,0.01457809231314868,b2011,4.065
atpA,0.03640234811146977,0.02592605706589631,b3734,7.384
livH,0.03200728893532898,0.04432169911167476,b3457,4.486
cdsA,0.051840253126659,0.02502183346645704,b0175,4.637
aroH,0.02683810538370976,0.0212102224754272,b1704,5.114
acnA,0.01490185194493054,0.00869431839934614,b1276,4.713
glmU,0.02683286823296955,0.02441709629348118,b3730,5.912
mepA,0.0786107407320128,0.02374726073720611,b2328,4.293
yciV,0.0339311444146979,0.02383545111742755,b1266,4.232
nfo,0.03345068596689967,0.02704707250340614,b2159,4.511
ppnN,0.02344318609743763,0.01706574571552634,b2795,5.063
ulaG,0.02848765569425675,0.02482640464244178,b4192,2.082
ulaB,0.0938011828239101,0.18859363189720332,b4194,0.4053
rplE,Inf,0.03727111205859021,b3308,8.084
sufA,Inf,0.0710494069422641,b1684,4.562
secB,0.05410623800802373,0.06934994522719298,b3609,6.65
nupC,Inf,0.03036810147360358,b2393,4.972
ilvE,0.03006253798892811,0.03029186218285869,b3770,5.53
tpx,Inf,0.06591179653679655,b1324,7.533
tsaB,0.04974678892840864,0.0598408090668169,b1807,4.115
gpmM,0.02142948407885896,0.01985143096852116,b3612,6.804
wcaD,0.074914770416652815,0.01823839732072494,b2056,-0.08587
btuD,Inf,0.02846840920969916,b1709,4.306
malP,0.01406322002626947,0.01095706220301727,b3417,4.793
yfbR,0.08352515285296117,0.03824506792569383,b2291,3.954
uspE,0.0750684529235427,0.02497351387614134,b1333,6.319
gpsA,0.02816566776470967,0.0232164729036121,b3608,5.077
corA,Inf,0.02310517208330639,b3816,4.656
nikA,Inf,0.01604396509982734,b3476,3.098
tyrA,0.05403554894009906,0.0200673091922433,b2600,5.168
nrdR,0.08732900842844027,0.05405698936163754,b0413,5.553
aspA,0.02603394755047379,0.02330578643467577,b4139,4.98
nuoE,0.04599217437358464,0.03874261223084274,b2285,5.959
dnaX,0.02097895168095235,0.01415300856728357,b0470,4.237
mlrA,0.04697145674042691,0.03847712401524077,b2127,4.245
uspB,0.0927950596412135,Inf,b3494,4.555
mtlD,Inf,0.02431626899898162,b3600,5.03
fruK,0.07755206078666174,0.02763368417483482,b2168,4.511
citG,0.03263579354133064,0.02793499983539499,b0613,-7.765
bamD,Inf,0.03787747558716373,b2595,5.849
cmoM,0.05092186873672446,0.02831980750514831,b0921,4.705
nrfA,0.0207702878108318,0.01591069068054556,b4070,2.809
queE,0.04512515176576116,0.02439048482156819,b2777,3.306
narJ,Inf,0.04526296391042096,b1226,2.9
malM,Inf,0.03111736404703593,b4037,3.617
rna,0.03526408555654065,0.02495831298206705,b0611,4.842
minE,Inf,Inf,NA,NA
cyoE,0.03320167440985613,0.02282935278683454,b0428,5.387
sodC,Inf,0.07006147428313578,b1646,5.155
flhC,0.04055759419152277,0.04824308456348292,b1891,3.578
fliZ,0.04935585431052464,0.03051692258992313,b1921,2.315
tadA,0.03717068930546704,0.05810361265718409,b2559,4.021
lpxK,0.03765041003341392,0.04423670536077824,b0915,3.683
leuB,0.02753974904620743,0.02347818442350565,b0073,6.542
plsY,0.03632194741343879,0.03035935419189701,b3059,4.013
pyrH,0.0842725392292492,0.03618678457232879,b0171,5.254
aroL,0.10181851899008762,0.08714984052547388,b0388,5.337
hslJ,Inf,0.09065885659661876,b1379,3.781
metJ,Inf,0.10488828989573036,b3938,5.764
secA,0.03209143350635618,0.01078585520979938,b0098,5.286
envZ,Inf,0.0187896163532794,b3404,3.882
paaI,0.05369278944360114,Inf,b1396,1.297
amyA,0.0196066303306084,0.01554315373730098,b1927,5.042
sufD,0.02518026985535889,0.02004659614384059,b1681,4.75
fldA,0.05045137024107889,0.06008297136937564,b0684,6.345
phnN,0.0455648999582189,0.04049047093921247,b4094,1.44
entF,0.0114343767796654,0.00842959247443937,b0586,3.929
relA,0.01536428638175562,0.01240992254357769,b2784,4.797
glpK,0.03419379824882339,0.01746448708646078,b3926,3.069
greA,Inf,0.04827754216809242,b3181,5.297
pgm,0.02066202525101024,0.01796113260378953,b0688,5.797
ruvC,0.08471870820169398,0.04075182391631567,b1863,5.314
elbB,0.10133476333963833,0.03404282213822934,b3209,4.741
gshB,0.03158180605818932,0.02167203785106058,b2947,4.98
acrA,Inf,0.02647647040773185,b0463,5.103
glgC,0.0252796747804581,0.02097279159571637,b3430,6.385
rluC,0.07508843809846508,0.01964975648154573,b1086,4.516
sstT,0.02808843686590805,0.03327012524365291,b3089,5.698
rssB,0.03831997549832076,0.0284334547898238,b1235,4.631
wcaL,0.0509046424683425,0.01870000061873973,b2044,1.575
aas,0.02200811577070244,0.00944375448139235,b2836,3.734
glpT,0.02600211665707375,0.01884524130251072,b2240,1.226
ppdD,Inf,0.05432005494505494,b0108,-12.15
rffC,Inf,0.05637649988482628,b3790,3.329
alkB,0.04416414355953983,0.03826598421530611,b2212,2.381
mreB,0.03665923697608827,0.02851449966277357,b3251,6.043
truA,0.05157696157677238,0.02308520485656329,b2318,3.705
gabP,0.03010965987601826,0.02144132241250098,b2663,2.703
cheA,0.02406356602846531,0.0129209272814891,b1888,1.22
rsmG,Inf,0.03767911090607924,b3740,3.82
trkA,Inf,0.01626969740771383,b3290,4.365
radA,0.04132574074908532,0.0185841858036299,b4389,4.234
wzyE,0.03727078124729941,0.02677141412080759,b3793,2.447
znuA,0.08066972280758318,0.01680452248848111,b1857,4.157
dut,Inf,0.05442870435211122,b3640,5.305
tomB,0.12100200273712178,0.06386160714285716,b0461,5.03
arsC,0.10754200164914454,0.04053249301446417,b3503,2.717
ilvB,0.02137449205860132,0.01592961374070521,b3671,5.275
asnB,0.021477398536448,0.01522790919967171,b0674,5.184
gloB,0.03692521930685254,0.01958597200005521,b0212,4.669
pepQ,0.02240975434898067,0.02275248616244696,b3847,5.36
pflA,0.03611458157762654,0.03090657664151013,b0902,5.072
treB,0.02438107635260891,0.02264445746481504,b4240,2.317
pgsA,Inf,0.06019098133492571,b1912,4.956
fetB,0.04088997061940785,0.03745827236550642,b0491,3.613
cybB,Inf,0.03043223204811616,b1418,5.598
ileS,0.0169369287914476,0.00996277616145575,b0026,5.987
nuoB,Inf,0.03132214339617614,b2287,6.201
ppx,0.02483946266004439,0.01343797637803591,b2502,4.849
dsbB,Inf,0.04253107012035584,b1185,4.859
tyrB,0.02674635932512736,0.01888750042942372,b4054,5.437
tldD,0.02187644962577614,0.02001668132915839,b3244,4.847
csiE,0.02413334675670687,0.01546541958324337,b2535,3.233
entD,0.03493470903320468,0.02808730625372546,b0583,2.496
lapB,0.0270739727815034,0.02536738647439393,b1280,4.461
ppc,0.01646555497675779,0.01129409974516503,b3956,6.571
nuoI,Inf,0.04103051662722384,b2281,4.668
fadB,0.02410136050483476,0.01216753573454465,b3846,1.805
ydfG,0.082933529858318,0.04917075677009975,b1539,6.407
carB,0.01482915377431478,0.0099577199583609,b0033,5.826
rlmB,0.05720475562660387,0.03897934446109599,b4180,4.33
msrA,0.03957954125233947,0.03346398596773348,b4219,5.421
fre,0.04007105298520683,0.0313646436248919,b3844,5.313
mdtG,0.07385062612330667,0.02374486982596494,b1053,2.135
hflD,0.08042517313593997,0.040110831132592,b1132,4.764
ptsG,0.03181731029413928,0.02146961523829093,b1101,7.256
yfcF,Inf,0.02666646801276494,b2301,4.363
gntU,0.0405544788998726,0.02584083220198919,b4476,1.597
argG,0.02292145293136495,0.01899741859486522,b3172,6.522
dgt,0.02184892112436044,0.01427658811479572,b0160,3.979
sbcC,0.01483318959617451,0.00861039381445302,b0397,3.018
bioD,0.09367718408892949,0.02772543592820359,b0778,3.933
nudC,0.03633490966565735,0.03123249173060793,b3996,4.339
nikE,Inf,0.03233361382510659,b3480,2.398
dsdC,0.02672114596535619,0.03161875087544524,b2364,3.139
norW,0.03061783394050124,0.02581631102069765,b2711,1.443
ftsA,0.02423388558973439,0.03877760109526352,b0094,5.084
lpxB,0.03016024205135559,0.01610170289051304,b0182,4.712
rpoA,0.04836269268805202,0.02144389155207126,b3295,8.319
cheR,0.07489702634645076,0.02685049824587651,b1884,0.8991
citX,Inf,0.08654863813689365,b0614,-8.814
arnA,0.01625605142734305,0.01259529493455732,b2255,2.901
pgl,0.0302537624625533,0.02589686667558703,b0767,5.71
sthA,0.01849106112603456,0.01863054075068768,b3962,4.89
dinB,0.02940664124536788,0.01999606157892907,b0231,3.049
ghrA,0.03434743950094367,0.02983390228445157,b1033,4.938
gyrA,0.02139331861970327,0.01234772261574133,b2231,5.849
ubiI,0.02660298738747903,0.02078649259056892,b2906,4.202
holC,Inf,0.04214367172814975,b4259,4.821
ydiK,0.03477645718112798,0.03053026794615633,b1688,4.22
cmoB,0.03142702191186346,0.02247874328812936,b1871,4.209
infB,0.0437181479047915,0.0142673298355035,b3168,5.938
rihC,0.03167337579218765,0.02145788896337232,b0030,3.098
ravA,0.0254045056573328,0.01688176924750817,b3746,4.527
prmA,0.02746441830931431,0.03099901974698828,b3259,4.509
uxuA,0.03556613873187789,0.0252364819763743,b4322,2.811
ahpF,0.02929716738026848,0.01706141315742352,b0606,5.481
emrB,0.02579966899334069,0.02049698604006599,b2686,2.744
recF,0.02767166839621811,0.01502749403722623,b3700,3.291
fabF,0.03104279582126621,0.02124961836019266,b1095,6.105
mrdB,0.02375909644677736,0.02680850619011276,b0634,3.69
dppC,0.05472494382522343,0.03885855926392136,b3542,3.951
iscU,0.08815172441795818,0.1970854377104377,b2529,6.408
slmA,Inf,0.03021759101209087,b3641,5.084
csgG,0.11803536669670044,0.02686514788184396,b1037,3.694
idi,0.05021842789987976,0.03877653517568291,b2889,3.895
dcp,0.06438594711168008,0.01065884196240745,b1538,4.553
phoU,0.0428198830258795,0.08183281699380617,b3724,4.645
ogt,0.081133374561946,0.05906256467594022,b1335,3.64
zur,0.0712324809340098,0.03735064974422621,b4046,4.186
mukB,0.01138804952518849,0.00767125988802434,b0924,4.682
pxpA,0.03492152943564811,0.03815089715812295,b0713,4.428
pdxY,0.03247088286312152,0.03545816486050594,b1636,4.024
nirD,Inf,Inf,b3366,2.273
caiB,0.02773970316106257,0.02176524800420258,b0038,2.086
hemF,0.03532300885741969,0.0233210900176474,b2436,3.621
rarD,0.04142853316032451,0.02843513938616976,b3819,2.833
ddlA,0.02299960638311069,0.02084114746319652,b0381,4.674
lpxP,0.0418812649964296,0.02016811429967302,b2378,1.792
bolA,Inf,0.03821534896480784,b0435,6.935
prs,0.03623646826082038,0.03443284791988687,b1207,6.356
ycjG,0.07063859238334899,0.02168689302249707,b1325,3.664
osmE,0.08662500000000001,0.15739335317460318,b1739,7.112
aroB,0.04191444774761707,0.01904563507639005,b3389,5.777
nagB,0.04044507868574427,0.02985895210445916,b0678,4.755
uspC,0.05456380774970517,0.04113908179012346,b1895,4.329
ptsP,0.01916452676071409,0.01117315672156535,b2829,5.002
prlC,0.02239270170057865,0.01212755255055948,b3498,4.929
purU,0.0267370098862084,0.02423934120321924,b1232,5.701
pdeH,0.04155257393513799,0.03786402066028414,b3525,-1.367
rhtC,0.1080285236750246,0.03534230745404988,b3823,4.161
rpsK,Inf,0.08394340882035478,b3297,8.277
rlmC,0.02607310469655567,0.01852532371097332,b0859,2.75
nac,0.03728963144815003,0.02623819936055475,b1988,3.034
caiF,0.05668248346170425,Inf,b0034,4.607
wzc,0.0202960437579621,0.01376876972788539,b2060,-0.232
potC,Inf,0.05362922969121769,b1124,3.968
livF,Inf,0.03115591173727139,b3454,5.287
gpt,Inf,0.06605082996285544,b0238,5.392
rsmI,0.03097105471251774,0.02928487839243443,b3146,3.787
nadB,0.01875588649264179,0.01517829535488029,b2574,4.593
ilvD,0.01975365168872871,0.01772001825281764,b3771,4.7
bioF,0.03681582866892156,0.02679803847038999,b0776,3.282
ubiA,0.04959529651274916,0.03332624525487814,b4040,4.117
pyrF,0.07818280564374236,0.02874314523461579,b1281,4.509
ascF,0.02786978873548649,0.0215546587415708,b2715,2.083
sucA,0.01366165488388559,0.01030531610153919,b0726,5.464
minC,0.04083800269637946,0.03090175930696087,b1176,5.715
nadC,0.07501450261148786,0.02440935385060166,b0109,4.658
gltJ,Inf,0.03332279373114092,b0654,3.379
plsX,0.04847872175803772,0.01964076550619962,b1090,4.96
dapE,0.03219983927905932,0.02787058483685682,b2472,4.555
tyrP,0.03258305751754423,0.02192766434239988,b1907,2.735
norV,0.0257568570142721,0.0189682131020059,b2710,2.032
yqiA,0.0359896054091442,0.08289553827328554,b3031,4.506
rlmH,Inf,0.03402925073576358,b0636,4.218
edd,0.02018694256618921,0.01532896874339959,b1851,3.39
oppA,0.01425401305740338,0.01562440985928855,b1243,7.485
bioA,0.02695757798581511,0.02440438981569766,b0774,3.462
purA,0.03714083552528283,0.02430201923515421,b4177,7.406
gltL,Inf,0.03529439709773089,b0652,4.162
yrfG,0.03248259688422596,0.02852478245037374,b3399,4.104
katE,0.06049354784705909,0.00908523118547355,b1732,4.985
lon,0.0177104935856572,0.01317588881076928,b0439,5.604
envC,Inf,0.022017378008244982,b3613,4.426
folP,0.03237587960868694,0.02279260767482916,b3177,4.076
kdpA,0.02717617571885593,0.01866392996912164,b0698,-0.2766
oppC,Inf,0.02291018768469128,b1245,5.171
aceA,0.03315853636103995,0.02205927512057344,b4015,7.04
paaZ,0.02086220179530015,0.01010279418537024,b1387,-0.1171
dsbA,0.08402457607327739,0.0773899996782965,b3860,6.337
nrdG,0.05298917748917749,0.0736181323721388,b4237,3.275
hypE,0.03093576888202255,0.02737962286244163,b2730,3.528
putA,0.01087623720311726,0.0074401697400455,b1014,3.005
rhlE,Inf,0.02073213565249844,b0797,3.33
iscS,0.03015735178612706,0.02662054480625741,b2530,5.839
rcsF,Inf,Inf,b0196,5.714
polA,0.05939272082874967,0.00888461432969821,b3863,4.655
cysH,Inf,0.03035833270972042,b2762,5.812
waaA,Inf,0.01911749398668025,b3633,4.006
mscM,0.02416097753969798,0.00929767641705091,b4159,3.132
fldB,0.06212536218190979,0.16030908209530367,b2895,5.249
fimA,0.12873135877888048,0.22202195599314103,b4314,6.588
tesB,Inf,0.02366523237769843,b0452,4.387
tamA,0.02254973120095774,0.01377342452983221,b4220,4.42
gss,0.01684501031261958,0.01384833284090066,b2988,5.024
dcuC,0.04478316407074223,0.02416498270292674,b0621,3.202
ruvA,Inf,0.03033607901493708,b1861,4.666
lldP,0.02745053748166134,0.02066286637440928,b3603,2.114
ytfE,0.03568601548363454,0.03303047044649419,b4209,1.844
dppF,0.0285568161711208,0.02242399589364868,b3540,4.478
uspF,Inf,0.04035350170366195,b1376,6.981
wcaB,Inf,0.0699791775684633,b2058,-9.484
clsB,0.06875336367743966,0.01856253991188126,b0789,3.497
rlmF,0.03233819300801582,0.02075713877870414,b0807,3.793
nusB,Inf,0.12290784878158398,b0416,6.364
bsmA,Inf,Inf,b4189,4.073
lolB,Inf,0.03161239788399143,b1209,5.051
srlD,0.03155249826359235,0.0348785156827359,b2705,2.952
tap,Inf,0.02527869532090254,b1885,0.3839
rseP,0.0726468827780287,0.01341540700203194,b0176,5.621
msrQ,0.12737572316900445,0.08545138932275712,b1972,2.894
mdtK,0.04956951226741836,0.02097311570991292,b1663,4.053
nuoL,0.04852387526223584,0.02148128711096155,b2278,4.759
