gene_id,NEUTRAL,SELECTED
rssA,0.03095367575914661,0.026158311322658306
hscA,0.016732456361135316,0.018312891387818907
ispH,0.03464549404606647,0.03340270124905084
dnaG,0.01954337605512333,0.010416262814231206
ldtA,0.02559673833652191,0.03103542311241984
tgt,0.02703150697633685,0.017926734984119952
pabA,0.03894769668362742,0.037097190728143103
napB,0.055331641530359486,0.057100223009313916
glnA,0.02980185068501644,0.020853826073134726
pgk,0.0604310662963206,0.026856239478257188
menB,0.041063108486701194,0.041447439862773924
argB,inf,0.057067221743532674
rseB,inf,0.021193240977006818
cysI,0.02558572235800157,0.0123897480740199
can,0.035884073044683266,0.04569443281310842
aqpZ,0.0978678257885556,0.042008206489399326
cysE,0.05394768002787235,0.02990258825423661
opgB,0.016016852569343827,0.009866178601210895
glgA,0.021982173759387293,0.01637519491634468
yjjG,0.03835601962811595,0.027850657462195928
thiK,inf,0.027971562148817946
lolE,0.07169996791867159,0.020828554372199347
leuA,0.020307208358304466,0.019164667311142067
arcB,0.012089174408798965,0.010439915001842772
recX,0.0692258988076406,0.05271176148661944
dcrB,inf,inf
sspA,inf,0.03438176140582939
recA,0.08748379083332412,0.031164943642191925
pqiA,0.02958615950463554,0.01725242896277656
nrfB,0.08598393678138934,0.03657985102519735
mrcB,0.07457629298327874,0.010017196791611976
proS,inf,0.017557574601569058
marR,0.08451027620121028,0.04383510974255023
pepT,0.04287769611110207,0.018725510561910907
murJ,0.07386065636197735,0.019609844359452015
potF,0.07392203382021668,0.021631039685600678
lysC,0.027291653111924403,0.02238809198323446
moaC,inf,0.09292587657098149
bssR,0.09397629930780113,inf
pmbA,0.02815567248204528,0.019372203638408653
secD,inf,0.015642431424576907
zitB,0.034316850246363786,0.021131197102668753
cspD,inf,inf
mltA,inf,0.02453014991941154
pta,0.03240978421512272,0.017100311249842744
frsA,0.02489558628118449,0.018351674509882766
yigL,0.030631091319584035,0.02805971956231163
mpl,0.023549665899156514,0.020586944552301548
glpX,0.03750005260438775,0.030264137290137036
mnmC,0.018795043551669437,0.011706298760866677
betB,0.033919925515254086,0.023385888318829953
nhaB,0.02829308384114887,0.017963538659433762
nrdI,inf,0.10159046310832025
dusC,0.04242985297280981,0.02900352710513839
trkH,0.039081665406949684,0.018081097335779298
bacA,0.03957805885618268,0.03377655771689547
zinT,0.07884303970902479,0.03275864666692444
rimJ,0.03859481602852814,0.032640169016953186
holB,0.027895059818086976,0.025527230356001844
ribF,0.03666323837775303,0.020931645441052613
sapD,0.03373182947303619,0.022092715505361887
hisF,0.035359427352627995,0.03356934206986206
lpxD,0.03500587838018744,0.02851318747825129
tdcB,0.0260800766035456,0.02645829910832336
ftsI,0.015583537972938225,0.014030504771353399
nagK,0.03356297026333939,0.02854461863154742
exuR,0.024485833481126845,0.031050608647804106
gcvT,0.02163060707615245,0.02266381532664441
udk,0.07223610845086409,0.03645638647009262
paaK,0.024083460551508108,0.016001926583950922
cysQ,0.058341457659213225,0.036968879947378165
ackA,0.03600799805808324,0.023418524975784484
fixX,0.18259410430839002,0.08936460695389266
hemG,inf,0.030985822156605305
hemN,0.021696521019760114,0.016822320508516793
fabA,0.1419046667618096,0.05264874135548072
rbsD,0.08084567953290897,0.06125213328338328
phnC,0.0411256623192416,0.03593176694336181
tatD,0.0548233291363854,0.027836492938950293
rpmE,inf,0.2980183531746032
sseB,inf,0.023550811014137408
pepP,0.022353758004541258,0.019804544093316882
speE,0.03678805695884422,0.028113314602891973
gabD,0.036197770727822084,0.02142832639206552
deoD,0.09797603903333399,0.04050470035110867
yhhY,0.042742674411973866,0.05747986038232251
mliC,inf,0.0732689037153323
recN,0.018814785766753103,0.020319237037289117
queA,inf,0.022425814937529636
aroC,0.031680375390020894,0.02372028967148407
psiE,0.10298374625984516,0.04406813119725207
adk,inf,0.058769910186753836
citE,0.08229468434095714,0.037017534106309785
rng,0.022675852072626873,0.016453360944797428
cydC,0.06941265054149261,0.015784165177553263
purL,0.010319397130903397,0.007479957412636366
mrcA,0.02089461774792702,0.01032855984895529
gstA,0.07808997493179164,0.027267596896249496
ubiE,0.07843357692382354,0.027334215476138714
hxpB,0.10639233353524477,0.04110047082246757
nth,0.035805922340525105,0.026338143565889777
phoR,0.02866697484352092,0.0177508400150787
nfuA,0.07252388189370325,0.04594069235307929
glpQ,inf,0.01824070660387514
galR,0.028482882816496507,0.030717890056776647
clcB,0.028386152495453697,0.03602448137331846
ulaD,0.07872527532724458,0.06523664303006502
mnmE,inf,0.018401236420465903
dnaE,0.012692512984068894,0.006476264312738214
maeB,0.017725139046430496,0.01109931926517896
tdcA,0.027947360875037297,0.019356344583156052
hflX,0.02641160619635709,0.019719493548585036
brnQ,0.036116356529574914,0.03536884603620442
rnhB,inf,0.04494878678320238
nuoJ,inf,0.058920886102183455
cho,0.037067060747016205,0.027540723733952416
kdgT,0.08727729252011211,0.027597818887304337
fumC,0.025760954259987968,0.017449657868239783
otsB,inf,0.02645751275919696
recG,0.022844144466831307,0.01270926740228569
pxpB,0.03863973756511671,0.0359700799831808
rpsN,inf,0.1760660306053975
rne,0.018362714700028943,0.010059804732880243
yegS,0.03321880038005971,0.02935749836146861
ligB,0.029158336044097566,0.014189914209572585
ubiG,0.04211573595353965,0.02721811358375347
dusB,0.028646152515734623,0.019339092132026735
rlmG,0.033893553753512426,0.018505472526938075
def,0.03220737375499281,0.0422954951699398
dinG,0.01678749258177265,0.011171554616428556
cycA,0.036075529039154945,0.015448004932683147
nudK,0.028534696987993692,0.04698250048728518
citF,0.02452579428265,0.024143976290080593
napC,0.03724678031604438,0.03132342078273751
purF,0.020792301093731903,0.019695150581246167
glpB,0.020413967527899014,0.020730473862603554
pyrB,inf,0.029640471706511424
cof,0.03862771370733583,0.029279081340264787
kdpB,0.023359594844479404,0.013362608117882868
ldcA,0.029988768806950627,0.025845619664317466
pdxJ,0.1504402961326981,0.04759022444532915
artJ,0.04781305940854018,0.040380106230826045
cysM,0.04424107079277967,0.023832581866183596
speB,0.03359925869126852,0.027561744817285794
qseG,0.04422760716348634,0.02526059861331555
ygfZ,0.043898290450316076,0.022045996953534035
gudD,0.027736503895898483,0.020354439732401336
asnS,0.040948891524556115,0.01880120675903484
ilvA,0.027633176204571435,0.01804151255793384
bglJ,0.04306344622020084,0.02584272156899748
argC,0.02859486660941682,0.029395204932897878
agaV,inf,0.04350652571634715
astB,0.023160291381150444,0.021617564424148562
metH,0.011799504735224068,0.007404272015205533
phoQ,0.02009186778745531,0.014436300689362646
rodZ,0.07333003817576238,0.023778871506924495
flgH,inf,0.03827258950386183
nlpE,0.08029837813991345,0.0257053574298379
fbaA,0.049220584817571085,0.03832845891971527
gntK,inf,0.047792073650566355
setB,0.0387104138031921,0.023398866041867913
miaA,0.06994557615083798,0.02334369761404483
gapA,0.07648828345433722,0.04236926396408391
pcnB,0.029058522748612044,0.014423670723297343
srmB,0.0743005460831138,0.015121818279973517
nrdB,0.023941988079797513,0.02756161588587011
paaX,0.03784959448486181,0.022354494121094227
rof,0.07370181405895694,inf
lepB,0.030166829652711846,0.020074285002469248
grxC,0.10991071428571428,0.06353351757369614
bioH,0.05647430226962199,0.02605482576806662
purH,0.02701530692007123,0.018484077969775737
zwf,0.021719460988434622,0.01606429905123644
yfcE,inf,0.0462816387786007
rbsK,inf,0.027539484993458773
menC,0.02713245587246586,0.031627143776675457
leuS,0.017220265462631675,0.010881551354077706
argE,0.0246695639019616,0.02192347207927754
ispG,0.030814630576240055,0.028617199895347153
glgX,0.01594634465755969,0.01317385402584127
gutQ,0.02533004759103094,0.03511126747093672
rhtA,0.12319642252654532,0.02358600803953692
arnC,0.026931817729034378,0.022048214077861193
iclR,0.04533624121237445,0.0265041776704067
hycC,0.025848874608495255,0.020795552774510045
kdsD,inf,0.022937946725311367
accB,inf,0.07670434651133182
lsrB,0.06394354588672656,0.021130330215980302
cmk,inf,0.03197754805110438
argS,0.02044913321835221,0.015974437663480147
viaA,0.025140393689727016,0.018306087095219005
topA,0.01714672496175853,0.008646845962365242
fabH,0.03662169555330744,0.02464574447917224
bcsE,0.020847994430253064,0.016850168601974913
rppH,inf,0.03964602376108114
iaaA,0.040755955212657465,0.027796106849793115
phoH,0.02866355139972666,0.01561472891135144
dam,0.03009303104113511,0.018510766266393294
uraA,0.03289547523030652,0.02232573458023271
ampD,0.046524098123692834,0.03050440965390599
grcA,inf,0.06726127638194737
malQ,0.0172730066826164,0.011993298057338791
pncC,inf,0.045966938086291494
alaC,0.03040278457417368,0.019380606954210598
ptrA,inf,0.0077942116728110765
citC,0.026836880382796142,0.018355902582104504
galE,0.02568008384981063,0.02680170502033814
dppD,0.03177590012104583,0.028506430526805467
mukF,inf,0.020544072682165147
argR,inf,0.04375287881954519
araD,0.08334765455003551,0.031238235940788395
srlA,inf,0.0338857938634867
yeaG,0.018326638206360234,0.009760366174538862
aat,0.03854199164316153,0.02652705105567162
smpB,0.10062626839749027,0.054675192764260555
sbcB,0.021599843188250284,0.014578092313148687
atpA,0.03640234811146977,0.02592605706589631
livH,0.03200728893532898,0.044321699111674766
cdsA,0.051840253126659006,0.02502183346645704
aroH,0.02683810538370976,0.021210222475427205
acnA,0.01490185194493054,0.008694318399346142
glmU,0.02683286823296955,0.024417096293481187
mepA,0.0786107407320128,0.02374726073720611
yciV,0.0339311444146979,0.02383545111742755
